                       	basic_memmem	twoway_memmem	memmem
String X2R, offset 5662:	5602.96	168.77	4200.27
String AS7947JGV@, offset 84947:	111529	45799.7	16854.9
String N3USCOC@WE, offset 1455:	1263.89	996.254	361.105
String 5, offset 163838:	102856	3763.44	3635.71
String F0MWMCH, offset 119294:	156392	79770.3	34484
String QQ@GR57X?<ZTYJJX8YC?AU[>WG, offset 9995:	10778	5125.42	884.977
String Q9U<[0SRMH>K@Q2LXTSQLE@Z2<L, offset 46965:	61379	1097.48	3985.8
String 1, offset 163838:	101692	3760.29	3571.39
String 0TSTU424R[QXX?18I5B6MV4KR, offset 1178:	778.301	34.7461	163.332
String 7F3OJV?004YJ@37=B4[S5R, offset 71437:	44460	1781.53	7661.21
String 39UVL, offset 1426:	940.902	40.1758	582.566
String 8=Y, offset 4750:	3061.04	116.816	3490.71
String VGHAHB4GFVQ>1LQ, offset 220:	210.609	98.8359	77.5352
String <PFR0P=8FD5K, offset 1049:	842.477	101.957	205.328
String @0SDV?GEHT>E<EC8NK6M4V>O, offset 3857:	3732.75	2007.25	391.156
String K[[FRKMV=EFLXBJBGCU[7, offset 51868:	67326.3	1487.25	5722
String 5, offset 45105:	28205.7	950.367	822.52
String KDJ>=PADGH6RTYG?YF, offset 90440:	116996	51028.6	10929.7
String KNN==39, offset 1989:	1779.63	92.8438	675.242
String 0, offset 163838:	102897	3815.75	3652.14
String UP86DSC2<400WWQ4Y>=<[96KVJJX0L0, offset 28985:	33509.9	14053.1	2073.79
String 2, offset 163838:	102185	3828.2	3637.84
String V5, offset 134:	110.633	37.3945	219.637
String LB=@H>OZUI7S0SE>2KMT[26<U=F>C, offset 154088:	201009	88691.4	14828.7
String >DNAI<7R2=7KS, offset 80494:	102504	37197.9	13014.8
String FZ52=G=Y4?WC[9E, offset 612:	514.52	241.445	148.922
String 1, offset 163838:	102877	3849.37	3673
String GW0J=5640F1GEP, offset 14142:	16321.6	626.781	1834.53
