                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length  256/  5, alignment  0/ 9, fail :	236.062	632.156	46.8438	180.094
Length  256/  6, alignment  1/ 3, found:	266.906	149.469	46.9062	162.156
Length  256/  6, alignment  0/ 9, fail :	207.656	126.719	45	156.656
Length  256/  7, alignment  1/ 3, found:	278.875	146.188	63.8125	139.406
Length  256/  7, alignment  0/ 9, fail :	284.906	131.531	60.125	134.281
Length  256/  8, alignment  1/ 3, found:	245.562	108.094	60.5	132.312
Length  256/  8, alignment  0/ 9, fail :	222.812	90.1562	56.0312	128.188
Length  256/  9, alignment  1/ 3, found:	199.094	107.094	50.4375	122.312
Length  256/  9, alignment  0/ 9, fail :	193.969	90.3125	48.0312	123.312
Length  256/ 10, alignment  1/ 3, found:	219.75	107.156	51.9688	130.469
Length  256/ 10, alignment  0/ 9, fail :	209.875	89.2812	43.9062	126.781
Length  256/ 11, alignment  1/ 3, found:	259.188	104.875	47.8438	128.625
Length  256/ 11, alignment  0/ 9, fail :	210.312	90.5	42.8438	125.656
Length  256/ 12, alignment  1/ 3, found:	219.656	104.438	56.7812	120.531
Length  256/ 12, alignment  0/ 9, fail :	201.031	91.0625	50.6875	118.312
Length  256/ 13, alignment  1/ 3, found:	227.25	248.469	46.375	119.844
Length  256/ 13, alignment  0/ 9, fail :	203.094	214.969	40.1875	110.688
Length  256/ 14, alignment  1/ 3, found:	263.469	155.125	46	106.281
Length  256/ 14, alignment  0/ 9, fail :	246.625	135.531	36.4375	104.375
Length  256/ 15, alignment  1/ 3, found:	219.656	154.75	44.3438	105.688
Length  256/ 15, alignment  0/ 9, fail :	215.875	132.125	37.375	104.031
Length  256/ 16, alignment  1/ 3, found:	192.375	34.5938	44.7812	33.7812
Length  256/ 16, alignment  0/ 9, fail :	192.375	21.8125	37.4062	21.2188
Length  256/ 16, alignment  1/11, found:	188.688	30.4688	45.0625	31
Length  256/ 16, alignment 14/ 5, fail :	190.156	20.2812	37.0625	20.2812
Length  256/ 32, alignment  1/11, found:	227.812	481.875	65.75	150.938
Length  256/ 32, alignment 14/ 5, fail :	215.281	405.438	37.1875	143
Length  256/ 64, alignment  1/11, found:	284.25	656.312	127.75	195.312
Length  256/ 64, alignment 14/ 5, fail :	276.906	561.688	56.3438	186.875
Length  256/128, alignment  1/11, found:	273.438	1033.16	150.375	295.031
Length  256/128, alignment 14/ 5, fail :	261.906	855.219	37.4688	274.844
Length  256/256, alignment  1/11, found:	196.781	46.25	202.281	46.8438
Length  256/256, alignment 14/ 5, fail :	242.5	37.25	50.9375	39.2188
Length  512/ 16, alignment  1/11, found:	416.281	984.031	68.2812	202.656
Length  512/ 16, alignment 14/ 5, fail :	423.906	950.781	56.125	185.031
Length  512/ 32, alignment  1/11, found:	522.969	690.156	129	166.906
Length  512/ 32, alignment 14/ 5, fail :	432.625	603.125	75.1562	159
Length  512/ 64, alignment  1/11, found:	557.781	716.438	164	205.938
Length  512/ 64, alignment 14/ 5, fail :	523.094	596.094	86.3125	194.094
Length  512/128, alignment  1/11, found:	588.219	1038.22	169.938	317.781
Length  512/128, alignment 14/ 5, fail :	560.562	854.406	77.5	294.938
Length  512/256, alignment  1/11, found:	483.344	1883.38	272.406	501.75
Length  512/256, alignment 14/ 5, fail :	518.719	1482.16	107.688	488.906
Length 1024/ 16, alignment  1/11, found:	1198.22	2676.09	182	265
Length 1024/ 16, alignment 14/ 5, fail :	810.281	2604.5	172.938	244.031
Length 1024/ 32, alignment  1/11, found:	1336.88	914.281	182.969	276.375
Length 1024/ 32, alignment 14/ 5, fail :	1081.88	819.594	135.406	264
Length 1024/ 64, alignment  1/11, found:	1080.75	1054.12	274.406	259.781
Length 1024/ 64, alignment 14/ 5, fail :	814.219	1183.47	242.375	269.25
Length 1024/128, alignment  1/11, found:	1440.19	1393.34	227.062	335.031
Length 1024/128, alignment 14/ 5, fail :	935	1159.31	120.906	316.562
Length 1024/256, alignment  1/11, found:	1127.12	1816.44	336.969	519.156
Length 1024/256, alignment 14/ 5, fail :	1071.38	1474.47	147.781	500.875
Length 2048/ 16, alignment  1/11, found:	2712.97	6092.03	295.031	615.375
Length 2048/ 16, alignment 14/ 5, fail :	2493.53	5431.16	260.562	500.094
Length 2048/ 32, alignment  1/11, found:	2385.66	1355.12	285.219	418.375
Length 2048/ 32, alignment 14/ 5, fail :	2264.34	1439.94	273.312	434.625
Length 2048/ 64, alignment  1/11, found:	2540.25	1520.38	382.281	470.875
Length 2048/ 64, alignment 14/ 5, fail :	2274	1183.97	266.969	397.906
Length 2048/128, alignment  1/11, found:	2641.44	1932.84	595.344	514.625
Length 2048/128, alignment 14/ 5, fail :	2102.34	1757.91	453.25	488.5
Length 2048/256, alignment  1/11, found:	2587.31	2849.03	605.062	701.938
Length 2048/256, alignment 14/ 5, fail :	2230.03	2284.97	422.906	649.781
Length 4096/ 16, alignment  1/11, found:	4253.72	13814.9	846.719	1265.53
Length 4096/ 16, alignment 14/ 5, fail :	5468.16	12408.4	676.25	945.625
Length 4096/ 32, alignment  1/11, found:	5659.66	2897.06	671.719	788.188
Length 4096/ 32, alignment 14/ 5, fail :	4591.78	2470.59	597.75	739.438
Length 4096/ 64, alignment  1/11, found:	4107.25	2208.56	696.656	602.312
Length 4096/ 64, alignment 14/ 5, fail :	3696.19	2044.97	621.25	560.062
Length 4096/128, alignment  1/11, found:	4354.91	2022.66	725.594	516.969
Length 4096/128, alignment 14/ 5, fail :	3243.34	1758.12	629.375	479.844
Length 4096/256, alignment  1/11, found:	4083.19	2819	1067.19	883.094
Length 4096/256, alignment 14/ 5, fail :	3556.28	2471.31	878.531	850.781
Length 8192/ 16, alignment  1/11, found:	7013.62	23143.9	1133.78	1369.59
Length 8192/ 16, alignment 14/ 5, fail :	6301.5	23106.3	1120.72	1333.12
Length 8192/ 32, alignment  1/11, found:	7769.44	4972.16	938.469	1118.47
Length 8192/ 32, alignment 14/ 5, fail :	6536.97	4441.84	911.281	1157.69
Length 8192/ 64, alignment  1/11, found:	7220.94	3220.56	1421.94	867.438
Length 8192/ 64, alignment 14/ 5, fail :	6409.34	2822.81	1261.84	822.188
Length 8192/128, alignment  1/11, found:	9213.16	3753.19	1364.5	994.844
Length 8192/128, alignment 14/ 5, fail :	9095.41	3456.72	1310.66	943.688
Length 8192/256, alignment  1/11, found:	7446.75	4094.78	2004.16	1354.5
Length 8192/256, alignment 14/ 5, fail :	7093.06	3600.38	1836.28	1312.03
Length 16384/ 16, alignment  1/11, found:	18092.8	1782.78	2150.66	3041.44
Length 16384/ 16, alignment 14/ 5, fail :	17897.7	1655.72	2195.66	2817.72
