
Results For: strncmp
len,align1,align2,strlen
30,4072,4048,30,0.818
30,4032,0,30,0.958
30,4016,0,30,0.937
30,4056,4016,30,0.818
30,4000,0,30,0.97
30,3984,0,30,0.937
30,4040,3984,30,0.818
31,0,0,31,0.962
31,31,0,31,0.82
31,2048,2047,31,0.888
31,2047,2048,31,0.806
31,4065,0,31,0.95
31,4080,0,31,0.959
31,4088,4080,31,0.854
31,4064,0,31,0.964
31,4048,0,31,0.968
31,4072,4048,31,0.816
31,4032,0,31,0.968
31,4016,0,31,0.938
31,4056,4016,31,0.817
31,4000,0,31,0.963
31,3984,0,31,0.94
31,4040,3984,31,0.818
32,0,0,32,0.916
32,32,0,32,0.891
32,2048,2047,32,0.891
32,2047,2048,32,0.807
32,4064,0,32,0.909
32,4080,0,32,0.896
32,4088,4080,32,0.847
32,4048,0,32,0.907
32,4072,4048,32,0.816
32,4032,0,32,0.913
32,4016,0,32,0.883
32,4056,4016,32,0.818
32,4000,0,32,0.913
32,3984,0,32,0.899
32,4040,3984,32,0.817
40,0,0,40,0.856
40,40,0,40,0.906
40,2048,2047,40,0.849
40,2047,2048,40,0.804
40,4056,0,40,0.908
40,4080,0,40,0.856
40,4088,4080,40,0.934
40,4064,0,40,0.856
40,4048,0,40,0.853
40,4072,4048,40,0.908
40,4032,0,40,0.861
40,4016,0,40,0.851
40,4000,0,40,0.853
40,3984,0,40,0.862
40,4040,3984,40,0.909
48,0,0,48,0.932
48,48,0,48,0.926
48,2048,2047,48,0.862
48,2047,2048,48,0.802
48,4048,0,48,0.931
48,4080,0,48,0.933
48,4088,4080,48,0.859
48,4064,0,48,0.929
48,4072,4048,48,0.814
48,4032,0,48,0.935
48,4016,0,48,0.925
48,4056,4016,48,0.784
48,4000,0,48,0.934
48,3984,0,48,0.909
48,4040,3984,48,0.784
56,0,0,56,0.832
56,56,0,56,0.876
56,2048,2047,56,0.828
56,2047,2048,56,0.775
56,4040,0,56,0.859
56,4080,0,56,0.833
56,4088,4080,56,0.944
56,4064,0,56,0.833
56,4048,0,56,0.833
56,4072,4048,56,0.872
56,4032,0,56,0.835
56,4016,0,56,0.838
56,4056,4016,56,0.856
56,4000,0,56,0.833
56,3984,0,56,0.836
64,0,0,64,0.895
64,64,0,64,0.897
64,2048,2047,64,0.847
64,2047,2048,64,0.78
64,4032,0,64,0.898
64,4080,0,64,0.891
64,4088,4080,64,0.846
64,4064,0,64,0.896
64,4048,0,64,0.896
64,4072,4048,64,0.791
64,4016,0,64,0.893
64,4056,4016,64,0.786
64,4000,0,64,0.895
64,3984,0,64,0.892
64,4040,3984,64,0.786
72,0,0,72,0.825
72,72,0,72,0.852
72,2048,2047,72,0.808
72,2047,2048,72,0.77
72,4024,0,72,0.859
72,4080,0,72,0.836
72,4088,4080,72,0.92
72,4064,0,72,0.842
72,4048,0,72,0.839
72,4072,4048,72,0.854
72,4032,0,72,0.827
72,4016,0,72,0.877
72,4056,4016,72,0.851
72,4000,0,72,0.843
72,3984,0,72,0.862
72,4040,3984,72,0.852
80,0,0,80,0.872
80,80,0,80,0.871
80,2048,2047,80,0.806
80,2047,2048,80,0.766
80,4016,0,80,0.878
80,4080,0,80,0.87
80,4088,4080,80,0.857
80,4064,0,80,0.875
80,4048,0,80,0.871
80,4072,4048,80,0.8
80,4032,0,80,0.869
80,4056,4016,80,0.78
80,4000,0,80,0.875
80,3984,0,80,0.872
80,4040,3984,80,0.774
88,0,0,88,0.862
88,88,0,88,0.83
88,2048,2047,88,0.809
88,2047,2048,88,0.748
88,4008,0,88,0.825
88,4080,0,88,0.857
88,4088,4080,88,0.944
88,4064,0,88,0.862
88,4048,0,88,0.864
88,4072,4048,88,0.853
88,4032,0,88,0.87
88,4016,0,88,0.856
88,4056,4016,88,0.852
88,4000,0,88,0.862
88,3984,0,88,0.863
88,4040,3984,88,0.827
96,0,0,96,0.91
96,96,0,96,0.903
96,2048,2047,96,0.814
96,2047,2048,96,0.751
96,4000,0,96,0.904
96,4080,0,96,0.902
96,4088,4080,96,0.855
96,4064,0,96,0.909
96,4048,0,96,0.903
96,4072,4048,96,0.787
96,4032,0,96,0.904
96,4016,0,96,0.898
96,4056,4016,96,0.778
96,3984,0,96,0.904
96,4040,3984,96,0.765
104,0,0,104,0.873
104,104,0,104,0.82
104,2048,2047,104,0.806
104,2047,2048,104,0.762
104,3992,0,104,0.819
104,4080,0,104,0.865
104,4088,4080,104,0.93
104,4064,0,104,0.87
104,4048,0,104,0.862
104,4072,4048,104,0.849
104,4032,0,104,0.869
104,4016,0,104,0.862
104,4056,4016,104,0.834
104,4000,0,104,0.863
104,3984,0,104,0.864
104,4040,3984,104,0.814
112,0,0,112,0.915
112,112,0,112,0.903
112,2048,2047,112,0.803
112,2047,2048,112,0.767
112,3984,0,112,0.909
112,4080,0,112,0.91
112,4088,4080,112,0.897
112,4064,0,112,0.915
112,4048,0,112,0.912
112,4072,4048,112,0.796
112,4032,0,112,0.906
112,4016,0,112,0.902
112,4056,4016,112,0.797
112,4000,0,112,0.906
112,4040,3984,112,0.771
120,0,0,120,0.902
120,120,0,120,0.847
120,2048,2047,120,0.816
120,2047,2048,120,0.761
120,3976,0,120,0.81
120,4080,0,120,0.897
120,4088,4080,120,0.919
120,4064,0,120,0.901
120,4048,0,120,0.895
120,4072,4048,120,0.82
120,4032,0,120,0.895
120,4016,0,120,0.893
120,4056,4016,120,0.831
120,4000,0,120,0.895
120,3984,0,120,0.893
120,4040,3984,120,0.827
128,0,0,128,0.938
128,128,0,128,0.927
128,2048,2047,128,0.817
128,2047,2048,128,0.76
128,3968,0,128,0.924
128,4080,0,128,0.927
128,4088,4080,128,0.894
128,4064,0,128,0.937
128,4048,0,128,0.931
128,4072,4048,128,0.791
128,4032,0,128,0.935
128,4016,0,128,0.924
128,4056,4016,128,0.802
128,4000,0,128,0.931
128,3984,0,128,0.923
128,4040,3984,128,0.794
136,0,0,136,0.912
136,136,0,136,0.813
136,2048,2047,136,0.814
136,2047,2048,136,0.776
136,3960,0,136,0.836
136,4080,0,136,0.907
136,4088,4080,136,0.906
136,4064,0,136,0.91
136,4048,0,136,0.908
136,4072,4048,136,0.839
136,4032,0,136,0.906
136,4016,0,136,0.899
136,4056,4016,136,0.837
136,4000,0,136,0.903
136,3984,0,136,0.895
136,4040,3984,136,0.834
144,0,0,144,0.937
144,144,0,144,0.923
144,2048,2047,144,0.814
144,2047,2048,144,0.777
144,3952,0,144,0.923
144,4080,0,144,0.934
144,4088,4080,144,0.891
144,4064,0,144,0.936
144,4048,0,144,0.933
144,4072,4048,144,0.804
144,4032,0,144,0.934
144,4016,0,144,0.929
144,4056,4016,144,0.817
144,4000,0,144,0.929
144,3984,0,144,0.921
144,4040,3984,144,0.791
152,0,0,152,0.942
152,152,0,152,0.825
152,2048,2047,152,0.833
152,2047,2048,152,0.777
152,3944,0,152,0.829
152,4080,0,152,0.937
152,4088,4080,152,0.919
152,4064,0,152,0.941
152,4048,0,152,0.941
152,4072,4048,152,0.828
152,4032,0,152,0.937
152,4016,0,152,0.93
152,4056,4016,152,0.825
152,4000,0,152,0.937
152,3984,0,152,0.927
152,4040,3984,152,0.839
160,0,0,160,0.96
160,160,0,160,0.946
160,2048,2047,160,0.829
160,2047,2048,160,0.78
160,3936,0,160,0.944
160,4080,0,160,0.956
160,4088,4080,160,0.89
160,4064,0,160,0.959
160,4048,0,160,0.953
160,4072,4048,160,0.794
160,4032,0,160,0.95
160,4016,0,160,0.94
160,4056,4016,160,0.814
160,4000,0,160,0.954
160,3984,0,160,0.941
160,4040,3984,160,0.806
192,0,0,192,0.98
192,192,0,192,0.971
192,2048,2047,192,0.841
192,2047,2048,192,0.789
192,3904,0,192,0.969
192,4080,0,192,0.98
192,4088,4080,192,0.892
192,4064,0,192,0.98
192,4048,0,192,0.98
192,4072,4048,192,0.813
192,4032,0,192,0.979
192,4016,0,192,0.967
192,4056,4016,192,0.813
192,4000,0,192,0.978
192,3984,0,192,0.966
192,4040,3984,192,0.819
224,0,0,224,0.995
224,224,0,224,0.982
224,2048,2047,224,0.842
224,2047,2048,224,0.798
224,3872,0,224,0.979
224,4080,0,224,0.995
224,4088,4080,224,0.906
224,4064,0,224,0.995
224,4048,0,224,0.995
224,4072,4048,224,0.832
224,4032,0,224,0.995
224,4016,0,224,0.982
224,4056,4016,224,0.822
224,4000,0,224,0.992
224,3984,0,224,0.984
224,4040,3984,224,0.823
256,0,0,256,1.0
256,256,0,256,0.993
256,2048,2047,256,0.842
256,2047,2048,256,0.809
256,3840,0,256,0.994
256,4080,0,256,0.999
256,4088,4080,256,0.927
256,4064,0,256,1.0
256,4048,0,256,1.002
256,4072,4048,256,0.825
256,4032,0,256,1.0
256,4016,0,256,0.997
256,4056,4016,256,0.83
256,4000,0,256,1.002
256,3984,0,256,0.994
256,4040,3984,256,0.833
512,0,0,512,1.047
512,512,0,512,1.05
512,2048,2047,512,0.937
512,2047,2048,512,0.777
512,3584,0,512,1.045
512,4080,0,512,1.06
512,4088,4080,512,0.909
512,4064,0,512,1.056
512,4048,0,512,1.061
512,4072,4048,512,0.849
512,4032,0,512,1.059
512,4016,0,512,1.052
512,4056,4016,512,0.847
512,4000,0,512,1.057
512,3984,0,512,1.052
512,4040,3984,512,0.84
1024,0,0,1024,0.964
1024,1024,0,1024,1.003
1024,2048,2047,1024,0.877
1024,2047,2048,1024,0.894
1024,3072,0,1024,0.999
1024,4080,0,1024,0.954
1024,4088,4080,1024,0.906
1024,4064,0,1024,0.942
1024,4048,0,1024,0.957
