Results For: strchrnul
alignment,length ,max_char ,pos  ,rand ,rand-addr ,seek_char   ,__strchrnul_evex ,__strchrnul_evex512 
1        ,4096   ,127      ,3840 ,0    ,0         ,0           ,113.469          ,55.82               ,2.033               
1        ,4096   ,127      ,3872 ,0    ,0         ,0           ,113.209          ,56.109              ,2.018               
1        ,4096   ,127      ,3904 ,0    ,0         ,0           ,113.712          ,56.787              ,2.002               
1        ,4096   ,127      ,3936 ,0    ,0         ,0           ,114.06           ,57.322              ,1.99                
1        ,4096   ,127      ,3968 ,0    ,0         ,0           ,116.462          ,58.128              ,2.004               
1        ,4096   ,127      ,4000 ,0    ,0         ,0           ,114.688          ,58.031              ,1.976               
1        ,4096   ,127      ,4032 ,0    ,0         ,0           ,116.108          ,58.19               ,1.995               
1        ,4096   ,127      ,4064 ,0    ,0         ,0           ,113.739          ,58.403              ,1.947               
1        ,4096   ,127      ,4128 ,0    ,0         ,0           ,119.478          ,58.969              ,2.026               
1        ,4096   ,127      ,4160 ,0    ,0         ,0           ,119.61           ,59.054              ,2.025               
1        ,4096   ,127      ,4192 ,0    ,0         ,0           ,119.261          ,59.472              ,2.005               
1        ,4096   ,127      ,4224 ,0    ,0         ,0           ,119.85           ,59.333              ,2.02                
1        ,4096   ,127      ,4256 ,0    ,0         ,0           ,119.338          ,59.277              ,2.013               
1        ,4096   ,127      ,4288 ,0    ,0         ,0           ,115.944          ,60.059              ,1.931               
1        ,4096   ,127      ,4320 ,0    ,0         ,0           ,119.45           ,59.634              ,2.003               
1        ,4096   ,127      ,4352 ,0    ,0         ,0           ,119.024          ,59.009              ,2.017               
1        ,4096   ,127      ,4384 ,0    ,0         ,0           ,124.593          ,60.411              ,2.062               
1        ,4096   ,127      ,4416 ,0    ,0         ,0           ,118.884          ,59.709              ,1.991               
1        ,4128   ,127      ,4096 ,0    ,0         ,0           ,119.909          ,59.612              ,2.011               
1        ,416    ,127      ,128  ,0    ,0         ,0           ,6.95             ,6.291               ,1.105               
1        ,416    ,127      ,256  ,0    ,0         ,0           ,13.216           ,7.719               ,1.712               
1        ,416    ,127      ,512  ,0    ,0         ,0           ,17.48            ,12.61               ,1.386               
1        ,4160   ,127      ,4096 ,0    ,0         ,0           ,118.025          ,60.503              ,1.951               
1        ,4192   ,127      ,4096 ,0    ,0         ,0           ,120.092          ,58.842              ,2.041               
1        ,4224   ,127      ,4096 ,0    ,0         ,0           ,119.298          ,59.283              ,2.012               
1        ,4256   ,127      ,4096 ,0    ,0         ,0           ,119.319          ,59.783              ,1.996               
1        ,4288   ,127      ,4096 ,0    ,0         ,0           ,119.294          ,60.577              ,1.969               
1        ,4320   ,127      ,4096 ,0    ,0         ,0           ,119.986          ,59.511              ,2.016               
1        ,4352   ,127      ,4096 ,0    ,0         ,0           ,118.786          ,59.255              ,2.005               
1        ,4384   ,127      ,4096 ,0    ,0         ,0           ,119.118          ,59.642              ,1.997               
1        ,4416   ,127      ,4096 ,0    ,0         ,0           ,119.078          ,59.149              ,2.013               
1        ,448    ,127      ,128  ,0    ,0         ,0           ,6.933            ,6.273               ,1.105               
1        ,448    ,127      ,256  ,0    ,0         ,0           ,13.118           ,7.698               ,1.704               
1        ,448    ,127      ,512  ,0    ,0         ,0           ,19.541           ,12.359              ,1.581               
1        ,48     ,127      ,16   ,0    ,0         ,0           ,3.419            ,3.892               ,0.878               
1        ,480    ,127      ,256  ,0    ,0         ,0           ,13.246           ,7.788               ,1.701               
1        ,480    ,127      ,512  ,0    ,0         ,0           ,18.927           ,12.527              ,1.511               
1        ,5      ,127      ,4    ,0    ,0         ,0           ,3.451            ,3.762               ,0.917               
1        ,5      ,127      ,4    ,0    ,0         ,23          ,3.456            ,3.841               ,0.9                 
1        ,512    ,127      ,192  ,0    ,0         ,0           ,12.279           ,7.148               ,1.718               
1        ,512    ,127      ,224  ,0    ,0         ,0           ,12.334           ,7.24                ,1.704               
1        ,512    ,127      ,256  ,0    ,0         ,0           ,13.105           ,7.722               ,1.697               
1        ,512    ,127      ,256  ,0    ,0         ,23          ,13.154           ,7.744               ,1.699               
1        ,512    ,127      ,288  ,0    ,0         ,0           ,14.271           ,7.786               ,1.833               
1        ,512    ,127      ,320  ,0    ,0         ,0           ,16.079           ,11.709              ,1.373               
1        ,512    ,127      ,352  ,0    ,0         ,0           ,15.984           ,11.816              ,1.353               
1        ,512    ,127      ,384  ,0    ,0         ,0           ,15.582           ,12.592              ,1.237               
1        ,512    ,127      ,416  ,0    ,0         ,0           ,17.026           ,12.645              ,1.347               
1        ,512    ,127      ,448  ,0    ,0         ,0           ,19.453           ,12.513              ,1.555               
1        ,512    ,127      ,480  ,0    ,0         ,0           ,19.826           ,12.488              ,1.588               
1        ,512    ,127      ,544  ,0    ,0         ,0           ,19.577           ,13.989              ,1.4                 
1        ,512    ,127      ,576  ,0    ,0         ,0           ,20.147           ,14.042              ,1.435               
1        ,512    ,127      ,608  ,0    ,0         ,0           ,19.589           ,14.089              ,1.39                
1        ,512    ,127      ,640  ,0    ,0         ,0           ,19.718           ,13.965              ,1.412               
1        ,512    ,127      ,672  ,0    ,0         ,0           ,19.751           ,13.958              ,1.415               
1        ,512    ,127      ,704  ,0    ,0         ,0           ,19.42            ,14.044              ,1.383               
1        ,512    ,127      ,736  ,0    ,0         ,0           ,19.503           ,13.946              ,1.398               
1        ,512    ,127      ,768  ,0    ,0         ,0           ,19.759           ,14.006              ,1.411               
