
Results For: strcmp
length, align1, align2
    64,   4048,      0, 0.853
    64,   4072,   4048, 0.778
    64,   4016,      0, 0.888
    64,   4056,   4016, 0.749
    64,   4000,      0, 0.849
    64,   3984,      0, 0.867
    64,   4040,   3984, 0.748
    72,      0,      0,  0.85
    72,     72,      0, 0.738
    72,   2048,   2047, 0.787
    72,   2047,   2048, 0.732
    72,   4024,      0, 0.742
    72,   4080,      0, 0.858
    72,   4088,   4080, 0.756
    72,   4064,      0, 0.846
    72,   4048,      0, 0.839
    72,   4072,   4048, 0.752
    72,   4032,      0, 0.843
    72,   4016,      0, 0.877
    72,   4056,   4016,  0.77
    72,   4000,      0, 0.856
    72,   3984,      0, 0.885
    72,   4040,   3984, 0.725
    80,      0,      0, 0.813
    80,     80,      0, 0.846
    80,   2048,   2047, 0.754
    80,   2047,   2048, 0.728
    80,   4016,      0, 0.832
    80,   4080,      0,  0.83
    80,   4088,   4080, 0.757
    80,   4064,      0, 0.818
    80,   4048,      0, 0.825
    80,   4072,   4048, 0.753
    80,   4032,      0, 0.821
    80,   4056,   4016, 0.779
    80,   4000,      0, 0.842
    80,   3984,      0,  0.85
    80,   4040,   3984, 0.729
    88,      0,      0, 0.811
    88,     88,      0, 0.741
    88,   2048,   2047, 0.761
    88,   2047,   2048, 0.712
    88,   4008,      0, 0.737
    88,   4080,      0, 0.819
    88,   4088,   4080, 0.772
    88,   4064,      0,  0.82
    88,   4048,      0, 0.818
    88,   4072,   4048, 0.735
    88,   4032,      0, 0.825
    88,   4016,      0, 0.842
    88,   4056,   4016, 0.767
    88,   4000,      0, 0.833
    88,   3984,      0, 0.838
    88,   4040,   3984, 0.734
    96,      0,      0, 0.813
    96,     96,      0, 0.839
    96,   2048,   2047, 0.756
    96,   2047,   2048, 0.719
    96,   4000,      0, 0.818
    96,   4080,      0,  0.82
    96,   4088,   4080, 0.766
    96,   4064,      0, 0.812
    96,   4048,      0,  0.82
    96,   4072,   4048, 0.743
    96,   4032,      0, 0.819
    96,   4016,      0, 0.836
    96,   4056,   4016, 0.765
    96,   3984,      0, 0.835
    96,   4040,   3984, 0.732
   104,      0,      0, 0.813
   104,    104,      0, 0.727
   104,   2048,   2047, 0.777
   104,   2047,   2048, 0.724
   104,   3992,      0, 0.723
   104,   4080,      0, 0.826
   104,   4088,   4080, 0.755
   104,   4064,      0, 0.816
   104,   4048,      0, 0.816
   104,   4072,   4048, 0.728
   104,   4032,      0, 0.824
   104,   4016,      0, 0.833
   104,   4056,   4016, 0.744
   104,   4000,      0, 0.818
   104,   3984,      0, 0.832
   104,   4040,   3984, 0.755
   112,      0,      0, 0.859
   112,    112,      0, 0.844
   112,   2048,   2047, 0.771
   112,   2047,   2048, 0.727
   112,   3984,      0, 0.853
   112,   4080,      0, 0.842
   112,   4088,   4080, 0.755
   112,   4064,      0, 0.857
   112,   4048,      0, 0.848
   112,   4072,   4048, 0.734
   112,   4032,      0, 0.853
   112,   4016,      0, 0.852
   112,   4056,   4016, 0.747
   112,   4000,      0, 0.848
   112,   4040,   3984, 0.749
   120,      0,      0, 0.859
   120,    120,      0, 0.728
   120,   2048,   2047, 0.788
   120,   2047,   2048, 0.717
   120,   3976,      0, 0.731
   120,   4080,      0, 0.845
   120,   4088,   4080, 0.755
   120,   4064,      0, 0.856
   120,   4048,      0,  0.85
   120,   4072,   4048, 0.726
   120,   4032,      0, 0.854
   120,   4016,      0, 0.845
   120,   4056,   4016, 0.747
   120,   4000,      0, 0.853
   120,   3984,      0, 0.849
   120,   4040,   3984, 0.742
   128,      0,      0, 0.877
   128,    128,      0, 0.875
   128,   2048,   2047, 0.785
   128,   2047,   2048, 0.717
   128,   3968,      0, 0.876
   128,   4080,      0, 0.876
   128,   4088,   4080, 0.751
   128,   4064,      0, 0.883
   128,   4048,      0, 0.881
   128,   4072,   4048, 0.737
   128,   4032,      0, 0.879
   128,   4016,      0, 0.873
   128,   4056,   4016, 0.754
   128,   4000,      0, 0.876
   128,   3984,      0, 0.876
   128,   4040,   3984, 0.743
   136,      0,      0, 0.887
   136,    136,      0, 0.728
   136,   2048,   2047, 0.788
   136,   2047,   2048,  0.73
   136,   3960,      0, 0.739
   136,   4080,      0, 0.875
   136,   4088,   4080,  0.77
   136,   4064,      0, 0.873
   136,   4048,      0, 0.874
   136,   4072,   4048, 0.726
   136,   4032,      0, 0.876
   136,   4016,      0, 0.869
   136,   4056,   4016, 0.742
   136,   4000,      0, 0.877
   136,   3984,      0, 0.876
   136,   4040,   3984, 0.746
   144,      0,      0, 0.909
   144,    144,      0, 0.904
   144,   2048,   2047, 0.787
   144,   2047,   2048,  0.73
   144,   3952,      0, 0.902
   144,   4080,      0, 0.901
   144,   4088,   4080, 0.774
   144,   4064,      0, 0.907
   144,   4048,      0, 0.908
   144,   4072,   4048,  0.74
   144,   4032,      0, 0.908
   144,   4016,      0, 0.903
   144,   4056,   4016, 0.736
   144,   4000,      0, 0.906
   144,   3984,      0, 0.903
   144,   4040,   3984, 0.747
