combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex512 ,__strnlen_evex512_orig 
768 ,64    ,127      ,256    ,6.363             ,6.072                  ,1.048 
256 ,0     ,127      ,768    ,6.964             ,7.407                  ,0.94  
256 ,1     ,127      ,768    ,6.935             ,7.599                  ,0.913 
256 ,64    ,127      ,768    ,6.954             ,7.474                  ,0.93  
800 ,0     ,127      ,256    ,6.577             ,6.21                   ,1.059 
800 ,1     ,127      ,256    ,6.511             ,7.474                  ,0.871 
800 ,64    ,127      ,256    ,6.515             ,6.04                   ,1.079 
256 ,0     ,127      ,800    ,6.973             ,7.432                  ,0.938 
256 ,1     ,127      ,800    ,6.941             ,7.652                  ,0.907 
256 ,64    ,127      ,800    ,7.087             ,7.436                  ,0.953 
832 ,0     ,127      ,256    ,6.628             ,6.369                  ,1.041 
832 ,1     ,127      ,256    ,6.51              ,7.735                  ,0.842 
832 ,64    ,127      ,256    ,6.471             ,5.97                   ,1.084 
256 ,0     ,127      ,832    ,6.948             ,7.432                  ,0.935 
256 ,1     ,127      ,832    ,7.046             ,7.605                  ,0.927 
256 ,64    ,127      ,832    ,7.018             ,7.427                  ,0.945 
864 ,0     ,127      ,256    ,6.569             ,6.222                  ,1.056 
864 ,1     ,127      ,256    ,6.531             ,7.505                  ,0.87  
864 ,64    ,127      ,256    ,6.39              ,6.081                  ,1.051 
256 ,0     ,127      ,864    ,6.936             ,7.611                  ,0.911 
256 ,1     ,127      ,864    ,7.007             ,7.785                  ,0.9   
256 ,64    ,127      ,864    ,6.956             ,7.591                  ,0.916 
896 ,0     ,127      ,256    ,6.616             ,6.619                  ,1.0   
896 ,1     ,127      ,256    ,6.524             ,7.575                  ,0.861 
896 ,64    ,127      ,256    ,6.454             ,6.038                  ,1.069 
256 ,0     ,127      ,896    ,6.917             ,7.581                  ,0.912 
256 ,1     ,127      ,896    ,6.995             ,7.796                  ,0.897 
256 ,64    ,127      ,896    ,6.949             ,7.622                  ,0.912 
928 ,0     ,127      ,256    ,6.671             ,6.092                  ,1.095 
928 ,1     ,127      ,256    ,6.468             ,7.147                  ,0.905 
928 ,64    ,127      ,256    ,6.514             ,6.195                  ,1.052 
256 ,0     ,127      ,928    ,6.997             ,7.621                  ,0.918 
256 ,1     ,127      ,928    ,7.156             ,7.824                  ,0.915 
256 ,64    ,127      ,928    ,6.929             ,7.586                  ,0.913 
960 ,0     ,127      ,256    ,6.443             ,6.329                  ,1.018 
960 ,1     ,127      ,256    ,6.504             ,6.994                  ,0.93  
960 ,64    ,127      ,256    ,6.559             ,6.278                  ,1.045 
256 ,0     ,127      ,960    ,7.107             ,7.481                  ,0.95  
256 ,1     ,127      ,960    ,7.063             ,7.599                  ,0.929 
256 ,64    ,127      ,960    ,6.901             ,7.43                   ,0.929 
512 ,0     ,127      ,512    ,9.617             ,8.586                  ,1.12  
512 ,1     ,127      ,512    ,10.42             ,12.125                 ,0.859 
512 ,64    ,127      ,512    ,9.67              ,12.455                 ,0.776 
544 ,0     ,127      ,512    ,10.302            ,9.179                  ,1.122 
544 ,1     ,127      ,512    ,11.2              ,12.241                 ,0.915 
544 ,64    ,127      ,512    ,10.577            ,12.812                 ,0.826 
512 ,0     ,127      ,544    ,10.867            ,12.133                 ,0.896 
512 ,1     ,127      ,544    ,11.126            ,12.29                  ,0.905 
512 ,64    ,127      ,544    ,11.039            ,12.598                 ,0.876 
480 ,0     ,127      ,512    ,10.065            ,11.69                  ,0.861 
480 ,1     ,127      ,512    ,9.853             ,11.657                 ,0.845 
480 ,64    ,127      ,512    ,10.119            ,12.124                 ,0.835 
512 ,0     ,127      ,480    ,10.821            ,8.806                  ,1.229 
512 ,1     ,127      ,480    ,10.467            ,8.964                  ,1.168 
512 ,64    ,127      ,480    ,10.138            ,12.623                 ,0.803 
576 ,0     ,127      ,512    ,10.415            ,9.106                  ,1.144 
576 ,1     ,127      ,512    ,10.652            ,12.861                 ,0.828 
576 ,64    ,127      ,512    ,10.27             ,12.749                 ,0.806 
512 ,0     ,127      ,576    ,11.503            ,12.05                  ,0.955 
512 ,1     ,127      ,576    ,12.198            ,12.138                 ,1.005 
512 ,64    ,127      ,576    ,11.315            ,12.687                 ,0.892 
448 ,0     ,127      ,512    ,10.094            ,11.587                 ,0.871 
448 ,1     ,127      ,512    ,9.937             ,11.683                 ,0.85  
448 ,64    ,127      ,512    ,10.368            ,12.099                 ,0.857 
512 ,0     ,127      ,448    ,8.761             ,9.126                  ,0.96  
512 ,1     ,127      ,448    ,10.51             ,8.741                  ,1.202 
512 ,64    ,127      ,448    ,8.724             ,9.003                  ,0.969 
608 ,0     ,127      ,512    ,10.381            ,8.808                  ,1.179 
608 ,1     ,127      ,512    ,10.414            ,12.928                 ,0.806 
608 ,64    ,127      ,512    ,10.359            ,12.898                 ,0.803 
512 ,0     ,127      ,608    ,11.86             ,12.017                 ,0.987 
512 ,1     ,127      ,608    ,12.126            ,12.167                 ,0.997 
512 ,64    ,127      ,608    ,12.48             ,12.675                 ,0.985 
416 ,0     ,127      ,512    ,9.46              ,11.489                 ,0.823 
416 ,1     ,127      ,512    ,9.223             ,11.561                 ,0.798 
416 ,64    ,127      ,512    ,9.316             ,11.592                 ,0.804 
512 ,0     ,127      ,416    ,8.848             ,8.774                  ,1.008 
512 ,1     ,127      ,416    ,8.827             ,9.143                  ,0.965 
512 ,64    ,127      ,416    ,8.953             ,9.143                  ,0.979 
640 ,0     ,127      ,512    ,10.47             ,9.474                  ,1.105 
640 ,1     ,127      ,512    ,10.479            ,13.048                 ,0.803 
640 ,64    ,127      ,512    ,10.894            ,13.113                 ,0.831 
512 ,0     ,127      ,640    ,12.08             ,12.023                 ,1.005 
512 ,1     ,127      ,640    ,12.249            ,12.207                 ,1.004 
512 ,64    ,127      ,640    ,12.643            ,12.641                 ,1.0   
384 ,0     ,127      ,512    ,9.59              ,11.379                 ,0.843 
384 ,1     ,127      ,512    ,9.726             ,11.567                 ,0.841 
384 ,64    ,127      ,512    ,9.236             ,11.494                 ,0.804 
512 ,0     ,127      ,384    ,8.399             ,9.09                   ,0.924 
512 ,1     ,127      ,384    ,8.826             ,8.996                  ,0.981 
512 ,64    ,127      ,384    ,8.239             ,8.789                  ,0.937 
672 ,0     ,127      ,512    ,10.728            ,9.122                  ,1.176 
672 ,1     ,127      ,512    ,10.605            ,13.035                 ,0.814 
672 ,64    ,127      ,512    ,10.747            ,13.224                 ,0.813 
512 ,0     ,127      ,672    ,12.065            ,12.082                 ,0.999 
512 ,1     ,127      ,672    ,12.441            ,12.346                 ,1.008 
512 ,64    ,127      ,672    ,12.461            ,12.56                  ,0.992 
352 ,0     ,127      ,512    ,8.039             ,11.05                  ,0.728 
352 ,1     ,127      ,512    ,8.223             ,11.28                  ,0.729 
352 ,64    ,127      ,512    ,8.036             ,11.443                 ,0.702 
512 ,0     ,127      ,352    ,8.409             ,9.599                  ,0.876 
512 ,1     ,127      ,352    ,8.346             ,8.98                   ,0.929 
512 ,64    ,127      ,352    ,8.45              ,9.419                  ,0.897 
704 ,0     ,127      ,512    ,10.464            ,9.022                  ,1.16  
704 ,1     ,127      ,512    ,10.538            ,13.3                   ,0.792 
704 ,64    ,127      ,512    ,10.574            ,10.8                   ,0.979 
512 ,0     ,127      ,704    ,12.142            ,12.072                 ,1.006 
512 ,1     ,127      ,704    ,12.488            ,12.264                 ,1.018 
512 ,64    ,127      ,704    ,12.54             ,12.596                 ,0.996 
320 ,0     ,127      ,512    ,8.06              ,11.105                 ,0.726 
320 ,1     ,127      ,512    ,8.225             ,11.304                 ,0.728 
320 ,64    ,127      ,512    ,8.189             ,11.438                 ,0.716 
512 ,0     ,127      ,320    ,6.499             ,7.475                  ,0.869 
512 ,1     ,127      ,320    ,8.55              ,10.063                 ,0.85  
