Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9996456480425209

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
  13,  2048,   12,         0,          0,     0.996
  13,  2060,   12,        23,          0,     1.001
  13,  2060,   12,         0,          0,     1.002
  11,  2048,   12,        23,          0,     1.001
  11,  2048,   12,         0,          0,     1.004
  11,  2060,   12,        23,          0,     0.997
  11,  2060,   12,         0,          0,     0.995
  11,  4081,   12,        23,          0,     1.004
  11,  4081,   12,         0,          0,       1.0
  13,  4081,   12,        23,          0,     1.002
  13,  4081,   12,         0,          0,     1.004
  14,     0,   13,        23,          0,       1.0
  14,     0,   13,         0,          0,     1.001
  14,    13,   13,        23,          0,     1.007
  14,    13,   13,         0,          0,     1.006
  12,     0,   13,        23,          0,       1.0
  12,     0,   13,         0,          0,       1.0
  12,    13,   13,        23,          0,       1.0
  12,    13,   13,         0,          0,     1.008
  14,  2048,   13,        23,          0,     0.996
  14,  2048,   13,         0,          0,       1.0
  14,  2061,   13,        23,          0,     1.001
  14,  2061,   13,         0,          0,     1.001
  12,  2048,   13,        23,          0,     1.008
  12,  2048,   13,         0,          0,     0.996
  12,  2061,   13,        23,          0,     0.995
  12,  2061,   13,         0,          0,     1.002
  12,  4081,   13,        23,          0,     0.997
  12,  4081,   13,         0,          0,     1.005
  14,  4081,   13,        23,          0,     1.002
  14,  4081,   13,         0,          0,     1.005
  15,     0,   14,        23,          0,     0.999
  15,     0,   14,         0,          0,       1.0
  15,    14,   14,        23,          0,       1.0
  15,    14,   14,         0,          0,       1.0
  13,     0,   14,        23,          0,     0.998
  13,     0,   14,         0,          0,     0.998
  13,    14,   14,        23,          0,     0.997
  13,    14,   14,         0,          0,     0.995
  15,  2048,   14,        23,          0,     1.001
  15,  2048,   14,         0,          0,     0.994
  15,  2062,   14,        23,          0,     1.006
  15,  2062,   14,         0,          0,       1.0
  13,  2048,   14,        23,          0,     1.003
  13,  2048,   14,         0,          0,     1.003
  13,  2062,   14,        23,          0,     1.002
  13,  2062,   14,         0,          0,     1.006
  13,  4081,   14,        23,          0,     1.003
  13,  4081,   14,         0,          0,       1.0
  15,  4081,   14,        23,          0,     0.996
  15,  4081,   14,         0,          0,       1.0
  16,     0,   15,        23,          0,     0.999
  16,     0,   15,         0,          0,       1.0
  16,    15,   15,        23,          0,       1.0
  16,    15,   15,         0,          0,       1.0
  14,     0,   15,        23,          0,       1.0
  14,     0,   15,         0,          0,       1.0
  14,    15,   15,        23,          0,     0.997
  14,    15,   15,         0,          0,     0.994
  16,  2048,   15,        23,          0,     1.006
  16,  2048,   15,         0,          0,     1.001
  16,  2063,   15,        23,          0,     0.998
  16,  2063,   15,         0,          0,       1.0
  14,  2048,   15,        23,          0,       1.0
  14,  2048,   15,         0,          0,       1.0
  14,  2063,   15,        23,          0,     0.997
  14,  2063,   15,         0,          0,     1.004
  14,  4081,   15,        23,          0,     0.989
  14,  4081,   15,         0,          0,     1.008
  16,  4081,   15,        23,          0,       1.0
  16,  4081,   15,         0,          0,       1.0
  17,     0,   16,        23,          0,       1.0
  17,     0,   16,         0,          0,       1.0
  17,    16,   16,        23,          0,     1.003
  17,    16,   16,         0,          0,       1.0
  15,     0,   16,        23,          0,     0.999
  15,     0,   16,         0,          0,     1.003
  15,    16,   16,        23,          0,     0.997
  15,    16,   16,         0,          0,       1.0
