
Results For: wcpcpy
align1,align2 ,len  ,max_char   ,__wcpcpy_avx2 ,__wcpcpy_generic 
4     ,4      ,228  ,1273       ,23.016        ,42.623           ,0.54  
2     ,2      ,228  ,2147483647 ,22.932        ,42.326           ,0.542 
2     ,6      ,228  ,1273       ,30.644        ,48.82            ,0.628 
6     ,2      ,228  ,2147483647 ,32.444        ,37.194           ,0.872 
1     ,7      ,228  ,1273       ,30.817        ,48.897           ,0.63  
7     ,1      ,228  ,2147483647 ,32.518        ,37.252           ,0.873 
3     ,4      ,228  ,1273       ,30.232        ,48.379           ,0.625 
4     ,3      ,228  ,2147483647 ,31.573        ,36.553           ,0.864 
5     ,7      ,228  ,1273       ,30.404        ,47.957           ,0.634 
7     ,5      ,228  ,1273       ,31.511        ,38.898           ,0.81  
0     ,4      ,232  ,1273       ,31.248        ,48.487           ,0.644 
4     ,0      ,232  ,2147483647 ,31.551        ,38.798           ,0.813 
4     ,4      ,232  ,1273       ,23.112        ,42.843           ,0.539 
2     ,2      ,232  ,2147483647 ,23.059        ,42.81            ,0.539 
2     ,6      ,232  ,1273       ,31.166        ,48.131           ,0.648 
6     ,2      ,232  ,2147483647 ,31.69         ,39.214           ,0.808 
1     ,7      ,232  ,1273       ,31.486        ,48.551           ,0.649 
7     ,1      ,232  ,2147483647 ,31.695        ,38.571           ,0.822 
3     ,4      ,232  ,1273       ,30.564        ,48.866           ,0.625 
4     ,3      ,232  ,2147483647 ,31.478        ,39.117           ,0.805 
5     ,7      ,232  ,1273       ,30.541        ,48.269           ,0.633 
7     ,5      ,232  ,1273       ,31.817        ,38.571           ,0.825 
0     ,4      ,236  ,1273       ,31.893        ,50.015           ,0.638 
4     ,0      ,236  ,2147483647 ,32.248        ,41.549           ,0.776 
4     ,4      ,236  ,1273       ,24.506        ,45.866           ,0.534 
2     ,2      ,236  ,2147483647 ,23.149        ,43.044           ,0.538 
2     ,6      ,236  ,1273       ,31.673        ,49.917           ,0.635 
6     ,2      ,236  ,2147483647 ,32.023        ,41.309           ,0.775 
1     ,7      ,236  ,1273       ,31.667        ,49.889           ,0.635 
7     ,1      ,236  ,2147483647 ,32.303        ,41.274           ,0.783 
3     ,4      ,236  ,1273       ,31.764        ,49.731           ,0.639 
4     ,3      ,236  ,2147483647 ,32.155        ,40.804           ,0.788 
5     ,7      ,236  ,1273       ,32.827        ,51.919           ,0.632 
7     ,5      ,236  ,1273       ,32.885        ,41.166           ,0.799 
0     ,4      ,240  ,1273       ,33.27         ,51.879           ,0.641 
4     ,0      ,240  ,2147483647 ,32.742        ,40.897           ,0.801 
4     ,4      ,240  ,1273       ,24.244        ,45.368           ,0.534 
