
Results For: wcscpy
align1,align2 ,len  ,max_char   ,__wcscpy_avx2 ,__wcscpy_ssse3 
0     ,0      ,13   ,2147483647 ,5.248         ,8.456          ,0.621 
0     ,5      ,13   ,1273       ,5.994         ,11.043         ,0.543 
5     ,0      ,13   ,2147483647 ,6.416         ,10.268         ,0.625 
0     ,0      ,14   ,1273       ,5.248         ,8.617          ,0.609 
0     ,0      ,14   ,2147483647 ,5.239         ,8.6            ,0.609 
0     ,6      ,14   ,1273       ,6.04          ,9.914          ,0.609 
6     ,0      ,14   ,2147483647 ,6.449         ,10.626         ,0.607 
0     ,0      ,15   ,1273       ,5.033         ,8.655          ,0.582 
0     ,0      ,15   ,2147483647 ,5.128         ,8.879          ,0.578 
0     ,7      ,15   ,1273       ,6.285         ,11.512         ,0.546 
7     ,0      ,15   ,2147483647 ,6.529         ,12.623         ,0.517 
0     ,0      ,16   ,1273       ,7.356         ,9.323          ,0.789 
7     ,2      ,16   ,1273       ,6.188         ,11.44          ,0.541 
0     ,0      ,32   ,1273       ,8.424         ,14.028         ,0.601 
6     ,4      ,32   ,1273       ,7.926         ,20.403         ,0.388 
0     ,0      ,64   ,1273       ,12.334        ,17.175         ,0.718 
5     ,6      ,64   ,1273       ,15.665        ,24.27          ,0.645 
0     ,0      ,128  ,1273       ,17.37         ,26.047         ,0.667 
4     ,0      ,128  ,1273       ,20.041        ,26.519         ,0.756 
0     ,0      ,256  ,1273       ,24.529        ,45.213         ,0.543 
3     ,2      ,256  ,1273       ,34.748        ,58.594         ,0.593 
0     ,0      ,512  ,1273       ,37.935        ,99.894         ,0.38  
2     ,4      ,512  ,1273       ,56.365        ,123.382        ,0.457 
0     ,0      ,1024 ,1273       ,95.474        ,173.155        ,0.551 
1     ,6      ,1024 ,1273       ,185.275       ,219.264        ,0.845 
1     ,2      ,16   ,1273       ,7.733         ,12.393         ,0.624 
