
Results For: wcpcpy
align1,align2 ,len  ,max_char   ,__wcpcpy_evex ,__wcpcpy_generic 
7     ,1      ,384  ,2147483647 ,51.531        ,54.131           ,0.952 
3     ,4      ,384  ,1273       ,51.377        ,63.776           ,0.806 
4     ,3      ,384  ,2147483647 ,51.37         ,55.412           ,0.927 
5     ,7      ,384  ,1273       ,50.678        ,63.841           ,0.794 
7     ,5      ,384  ,1273       ,51.523        ,54.21            ,0.95  
0     ,4      ,388  ,1273       ,50.7          ,65.578           ,0.773 
4     ,0      ,388  ,2147483647 ,52.765        ,53.816           ,0.98  
4     ,4      ,388  ,1273       ,27.515        ,56.205           ,0.49  
2     ,2      ,388  ,2147483647 ,28.563        ,56.572           ,0.505 
2     ,6      ,388  ,1273       ,50.918        ,65.832           ,0.773 
6     ,2      ,388  ,2147483647 ,53.002        ,54.481           ,0.973 
1     ,7      ,388  ,1273       ,50.898        ,65.663           ,0.775 
7     ,1      ,388  ,2147483647 ,53.058        ,54.663           ,0.971 
3     ,4      ,388  ,1273       ,51.264        ,65.964           ,0.777 
4     ,3      ,388  ,2147483647 ,52.623        ,54.689           ,0.962 
5     ,7      ,388  ,1273       ,50.977        ,64.594           ,0.789 
7     ,5      ,388  ,1273       ,51.856        ,56.168           ,0.923 
0     ,4      ,392  ,1273       ,50.772        ,64.929           ,0.782 
4     ,0      ,392  ,2147483647 ,52.209        ,55.955           ,0.933 
4     ,4      ,392  ,1273       ,27.243        ,56.289           ,0.484 
2     ,2      ,392  ,2147483647 ,27.394        ,56.118           ,0.488 
2     ,6      ,392  ,1273       ,50.949        ,65.125           ,0.782 
6     ,2      ,392  ,2147483647 ,52.581        ,56.822           ,0.925 
1     ,7      ,392  ,1273       ,51.263        ,65.258           ,0.786 
7     ,1      ,392  ,2147483647 ,52.537        ,55.625           ,0.944 
3     ,4      ,392  ,1273       ,51.344        ,65.344           ,0.786 
4     ,3      ,392  ,2147483647 ,52.166        ,56.378           ,0.925 
5     ,7      ,392  ,1273       ,50.792        ,64.767           ,0.784 
7     ,5      ,392  ,1273       ,52.154        ,55.163           ,0.945 
0     ,4      ,396  ,1273       ,52.027        ,64.732           ,0.804 
4     ,0      ,396  ,2147483647 ,52.332        ,57.924           ,0.903 
4     ,4      ,396  ,1273       ,28.415        ,58.735           ,0.484 
2     ,2      ,396  ,2147483647 ,27.272        ,56.105           ,0.486 
2     ,6      ,396  ,1273       ,52.218        ,65.036           ,0.803 
6     ,2      ,396  ,2147483647 ,52.374        ,58.677           ,0.893 
1     ,7      ,396  ,1273       ,52.006        ,64.689           ,0.804 
7     ,1      ,396  ,2147483647 ,52.281        ,58.656           ,0.891 
3     ,4      ,396  ,1273       ,52.155        ,64.959           ,0.803 
4     ,3      ,396  ,2147483647 ,52.447        ,58.841           ,0.891 
5     ,7      ,396  ,1273       ,53.301        ,68.095           ,0.783 
7     ,5      ,396  ,1273       ,53.732        ,58.821           ,0.913 
0     ,4      ,400  ,1273       ,53.178        ,67.685           ,0.786 
4     ,0      ,400  ,2147483647 ,53.228        ,57.698           ,0.923 
4     ,4      ,400  ,1273       ,27.656        ,58.341           ,0.474 
2     ,2      ,400  ,2147483647 ,27.908        ,58.536           ,0.477 
2     ,6      ,400  ,1273       ,52.978        ,67.813           ,0.781 
6     ,2      ,400  ,2147483647 ,53.421        ,58.813           ,0.908 
1     ,7      ,400  ,1273       ,54.076        ,67.943           ,0.796 
7     ,1      ,400  ,2147483647 ,53.374        ,59.156           ,0.902 
3     ,4      ,400  ,1273       ,53.049        ,69.102           ,0.768 
4     ,3      ,400  ,2147483647 ,53.428        ,58.826           ,0.908 
5     ,7      ,400  ,1273       ,53.079        ,69.24            ,0.767 
7     ,5      ,400  ,1273       ,53.381        ,58.057           ,0.919 
0     ,4      ,404  ,1273       ,52.758        ,67.548           ,0.781 
4     ,0      ,404  ,2147483647 ,53.986        ,57.535           ,0.938 
4     ,4      ,404  ,1273       ,27.534        ,58.541           ,0.47  
2     ,2      ,404  ,2147483647 ,28.072        ,58.634           ,0.479 
2     ,6      ,404  ,1273       ,52.832        ,67.68            ,0.781 
6     ,2      ,404  ,2147483647 ,54.147        ,58.218           ,0.93  
1     ,7      ,404  ,1273       ,52.922        ,67.701           ,0.782 
7     ,1      ,404  ,2147483647 ,54.345        ,58.559           ,0.928 
3     ,4      ,404  ,1273       ,53.089        ,67.304           ,0.789 
4     ,3      ,404  ,2147483647 ,53.636        ,58.343           ,0.919 
5     ,7      ,404  ,1273       ,52.373        ,66.716           ,0.785 
7     ,5      ,404  ,1273       ,53.651        ,58.253           ,0.921 
0     ,4      ,408  ,1273       ,52.6          ,67.123           ,0.784 
4     ,0      ,408  ,2147483647 ,53.697        ,57.687           ,0.931 
4     ,4      ,408  ,1273       ,27.615        ,58.395           ,0.473 
2     ,2      ,408  ,2147483647 ,27.792        ,58.454           ,0.475 
2     ,6      ,408  ,1273       ,52.644        ,67.058           ,0.785 
6     ,2      ,408  ,2147483647 ,53.844        ,58.597           ,0.919 
1     ,7      ,408  ,1273       ,52.922        ,67.33            ,0.786 
7     ,1      ,408  ,2147483647 ,53.869        ,57.173           ,0.942 
3     ,4      ,408  ,1273       ,52.54         ,66.962           ,0.785 
4     ,3      ,408  ,2147483647 ,53.558        ,58.165           ,0.921 
5     ,7      ,408  ,1273       ,52.323        ,66.758           ,0.784 
7     ,5      ,408  ,1273       ,53.617        ,57.106           ,0.939 
0     ,4      ,412  ,1273       ,52.983        ,67.06            ,0.79  
4     ,0      ,412  ,2147483647 ,53.664        ,57.562           ,0.932 
4     ,4      ,412  ,1273       ,29.305        ,58.426           ,0.502 
2     ,2      ,412  ,2147483647 ,27.655        ,58.137           ,0.476 
2     ,6      ,412  ,1273       ,53.172        ,67.6             ,0.787 
6     ,2      ,412  ,2147483647 ,53.956        ,58.466           ,0.923 
1     ,7      ,412  ,1273       ,53.27         ,67.506           ,0.789 
7     ,1      ,412  ,2147483647 ,53.861        ,58.583           ,0.919 
3     ,4      ,412  ,1273       ,53.518        ,67.573           ,0.792 
4     ,3      ,412  ,2147483647 ,53.757        ,58.575           ,0.918 
5     ,7      ,412  ,1273       ,54.895        ,67.646           ,0.811 
7     ,5      ,412  ,1273       ,55.105        ,58.448           ,0.943 
0     ,4      ,416  ,1273       ,54.509        ,67.169           ,0.812 
4     ,0      ,416  ,2147483647 ,54.671        ,57.623           ,0.949 
4     ,4      ,416  ,1273       ,29.303        ,58.362           ,0.502 
2     ,2      ,416  ,2147483647 ,29.29         ,58.275           ,0.503 
2     ,6      ,416  ,1273       ,54.406        ,67.364           ,0.808 
6     ,2      ,416  ,2147483647 ,54.868        ,58.745           ,0.934 
1     ,7      ,416  ,1273       ,54.116        ,67.582           ,0.801 
7     ,1      ,416  ,2147483647 ,54.15         ,57.233           ,0.946 
3     ,4      ,416  ,1273       ,54.641        ,67.318           ,0.812 
4     ,3      ,416  ,2147483647 ,54.912        ,58.441           ,0.94  
5     ,7      ,416  ,1273       ,53.878        ,67.094           ,0.803 
7     ,5      ,416  ,1273       ,54.099        ,56.774           ,0.953 
0     ,4      ,420  ,1273       ,53.537        ,69.602           ,0.769 
4     ,0      ,420  ,2147483647 ,55.13         ,57.018           ,0.967 
4     ,4      ,420  ,1273       ,28.615        ,59.214           ,0.483 
2     ,2      ,420  ,2147483647 ,29.496        ,58.618           ,0.503 
2     ,6      ,420  ,1273       ,53.99         ,69.398           ,0.778 
6     ,2      ,420  ,2147483647 ,55.114        ,57.555           ,0.958 
1     ,7      ,420  ,1273       ,53.732        ,69.312           ,0.775 
7     ,1      ,420  ,2147483647 ,55.226        ,57.571           ,0.959 
3     ,4      ,420  ,1273       ,53.952        ,68.791           ,0.784 
4     ,3      ,420  ,2147483647 ,54.668        ,57.945           ,0.943 
5     ,7      ,420  ,1273       ,52.739        ,68.08            ,0.775 
7     ,5      ,420  ,1273       ,54.768        ,60.417           ,0.907 
0     ,4      ,424  ,1273       ,53.008        ,68.388           ,0.775 
4     ,0      ,424  ,2147483647 ,54.759        ,60.118           ,0.911 
4     ,4      ,424  ,1273       ,28.469        ,59.169           ,0.481 
2     ,2      ,424  ,2147483647 ,28.42         ,59.095           ,0.481 
2     ,6      ,424  ,1273       ,53.357        ,68.273           ,0.782 
6     ,2      ,424  ,2147483647 ,54.734        ,62.633           ,0.874 
1     ,7      ,424  ,1273       ,53.35         ,68.829           ,0.775 
7     ,1      ,424  ,2147483647 ,56.199        ,59.754           ,0.941 
3     ,4      ,424  ,1273       ,53.32         ,70.659           ,0.755 
4     ,3      ,424  ,2147483647 ,55.134        ,63.016           ,0.875 
