
Results For: wcscpy
align1,align2 ,len  ,max_char   ,__wcscpy_evex ,__wcscpy_ssse3 
7     ,1      ,44   ,2147483647 ,11.303        ,21.6           ,0.523 
3     ,4      ,44   ,1273       ,13.259        ,22.718         ,0.584 
4     ,3      ,44   ,2147483647 ,11.79         ,21.646         ,0.545 
5     ,7      ,44   ,1273       ,12.656        ,22.72          ,0.557 
7     ,5      ,44   ,1273       ,12.304        ,22.052         ,0.558 
0     ,4      ,48   ,1273       ,15.036        ,17.076         ,0.881 
4     ,0      ,48   ,2147483647 ,11.411        ,16.545         ,0.69  
4     ,4      ,48   ,1273       ,11.485        ,16.983         ,0.676 
2     ,2      ,48   ,2147483647 ,11.484        ,15.882         ,0.723 
2     ,6      ,48   ,1273       ,15.029        ,17.579         ,0.855 
6     ,2      ,48   ,2147483647 ,11.814        ,16.724         ,0.706 
1     ,7      ,48   ,1273       ,15.06         ,24.678         ,0.61  
7     ,1      ,48   ,2147483647 ,11.076        ,22.873         ,0.484 
3     ,4      ,48   ,1273       ,12.709        ,21.671         ,0.586 
4     ,3      ,48   ,2147483647 ,12.344        ,22.869         ,0.54  
5     ,7      ,48   ,1273       ,12.499        ,23.436         ,0.533 
7     ,5      ,48   ,1273       ,11.068        ,22.884         ,0.484 
0     ,4      ,52   ,1273       ,12.47         ,18.138         ,0.688 
4     ,0      ,52   ,2147483647 ,12.58         ,17.057         ,0.738 
4     ,4      ,52   ,1273       ,11.306        ,17.608         ,0.642 
2     ,2      ,52   ,2147483647 ,11.552        ,16.435         ,0.703 
2     ,6      ,52   ,1273       ,12.515        ,18.724         ,0.668 
6     ,2      ,52   ,2147483647 ,12.655        ,17.281         ,0.732 
1     ,7      ,52   ,1273       ,12.497        ,25.845         ,0.484 
7     ,1      ,52   ,2147483647 ,12.187        ,23.549         ,0.518 
3     ,4      ,52   ,1273       ,11.934        ,22.76          ,0.524 
4     ,3      ,52   ,2147483647 ,12.089        ,23.55          ,0.513 
5     ,7      ,52   ,1273       ,12.438        ,23.936         ,0.52  
7     ,5      ,52   ,1273       ,12.083        ,23.716         ,0.509 
0     ,4      ,56   ,1273       ,13.235        ,18.909         ,0.7   
4     ,0      ,56   ,2147483647 ,11.469        ,17.595         ,0.652 
4     ,4      ,56   ,1273       ,11.305        ,18.185         ,0.622 
2     ,2      ,56   ,2147483647 ,11.355        ,17.055         ,0.666 
2     ,6      ,56   ,1273       ,13.22         ,19.33          ,0.684 
6     ,2      ,56   ,2147483647 ,11.615        ,17.645         ,0.658 
1     ,7      ,56   ,1273       ,12.888        ,26.29          ,0.49  
7     ,1      ,56   ,2147483647 ,11.568        ,23.656         ,0.489 
3     ,4      ,56   ,1273       ,12.382        ,23.85          ,0.519 
4     ,3      ,56   ,2147483647 ,12.095        ,24.258         ,0.499 
5     ,7      ,56   ,1273       ,12.091        ,24.681         ,0.49  
7     ,5      ,56   ,1273       ,11.617        ,23.955         ,0.485 
0     ,4      ,60   ,1273       ,12.431        ,19.495         ,0.638 
4     ,0      ,60   ,2147483647 ,13.869        ,17.747         ,0.782 
4     ,4      ,60   ,1273       ,12.954        ,18.16          ,0.713 
2     ,2      ,60   ,2147483647 ,11.354        ,17.672         ,0.642 
2     ,6      ,60   ,1273       ,12.425        ,19.751         ,0.629 
6     ,2      ,60   ,2147483647 ,14.214        ,17.738         ,0.801 
1     ,7      ,60   ,1273       ,12.433        ,27.647         ,0.45  
7     ,1      ,60   ,2147483647 ,13.22         ,24.107         ,0.548 
3     ,4      ,60   ,1273       ,12.437        ,24.619         ,0.505 
4     ,3      ,60   ,2147483647 ,13.527        ,24.172         ,0.56  
5     ,7      ,60   ,1273       ,16.044        ,24.855         ,0.645 
7     ,5      ,60   ,1273       ,15.099        ,23.875         ,0.632 
0     ,4      ,64   ,1273       ,17.054        ,19.56          ,0.872 
4     ,0      ,64   ,2147483647 ,13.417        ,18.245         ,0.735 
4     ,4      ,64   ,1273       ,12.904        ,18.648         ,0.692 
2     ,2      ,64   ,2147483647 ,12.901        ,17.553         ,0.735 
2     ,6      ,64   ,1273       ,17.06         ,19.226         ,0.887 
6     ,2      ,64   ,2147483647 ,13.655        ,18.089         ,0.755 
1     ,7      ,64   ,1273       ,17.134        ,27.073         ,0.633 
7     ,1      ,64   ,2147483647 ,13.087        ,24.974         ,0.524 
3     ,4      ,64   ,1273       ,16.12         ,24.063         ,0.67  
4     ,3      ,64   ,2147483647 ,15.226        ,25.212         ,0.604 
5     ,7      ,64   ,1273       ,16.107        ,25.024         ,0.644 
7     ,5      ,64   ,1273       ,13.173        ,24.938         ,0.528 
0     ,4      ,68   ,1273       ,16.078        ,20.301         ,0.792 
4     ,0      ,68   ,2147483647 ,14.338        ,18.843         ,0.761 
4     ,4      ,68   ,1273       ,12.621        ,19.365         ,0.652 
2     ,2      ,68   ,2147483647 ,12.976        ,18.015         ,0.72  
2     ,6      ,68   ,1273       ,16.121        ,19.911         ,0.81  
6     ,2      ,68   ,2147483647 ,14.667        ,18.945         ,0.774 
1     ,7      ,68   ,1273       ,16.152        ,28.252         ,0.572 
7     ,1      ,68   ,2147483647 ,13.725        ,25.998         ,0.528 
3     ,4      ,68   ,1273       ,14.956        ,25.407         ,0.589 
4     ,3      ,68   ,2147483647 ,14.512        ,25.824         ,0.562 
5     ,7      ,68   ,1273       ,15.76         ,26.107         ,0.604 
7     ,5      ,68   ,1273       ,14.507        ,25.833         ,0.562 
0     ,4      ,72   ,1273       ,16.661        ,21.121         ,0.789 
4     ,0      ,72   ,2147483647 ,13.282        ,19.609         ,0.677 
4     ,4      ,72   ,1273       ,12.528        ,20.128         ,0.622 
2     ,2      ,72   ,2147483647 ,12.551        ,19.065         ,0.658 
2     ,6      ,72   ,1273       ,16.625        ,20.719         ,0.802 
6     ,2      ,72   ,2147483647 ,13.407        ,19.748         ,0.679 
1     ,7      ,72   ,1273       ,16.213        ,28.58          ,0.567 
7     ,1      ,72   ,2147483647 ,13.476        ,26.209         ,0.514 
3     ,4      ,72   ,1273       ,15.804        ,26.6           ,0.594 
4     ,3      ,72   ,2147483647 ,14.524        ,26.314         ,0.552 
5     ,7      ,72   ,1273       ,15.228        ,26.363         ,0.578 
7     ,5      ,72   ,1273       ,13.435        ,25.75          ,0.522 
0     ,4      ,76   ,1273       ,16.191        ,21.817         ,0.742 
4     ,0      ,76   ,2147483647 ,14.821        ,19.774         ,0.75  
4     ,4      ,76   ,1273       ,14.237        ,19.844         ,0.717 
2     ,2      ,76   ,2147483647 ,12.499        ,19.605         ,0.638 
2     ,6      ,76   ,1273       ,16.121        ,21.139         ,0.763 
6     ,2      ,76   ,2147483647 ,15.081        ,19.802         ,0.762 
1     ,7      ,76   ,1273       ,16.108        ,29.211         ,0.551 
7     ,1      ,76   ,2147483647 ,14.118        ,25.759         ,0.548 
3     ,4      ,76   ,1273       ,16.104        ,26.472         ,0.608 
4     ,3      ,76   ,2147483647 ,14.593        ,26.055         ,0.56  
5     ,7      ,76   ,1273       ,17.14         ,26.308         ,0.652 
7     ,5      ,76   ,1273       ,16.058        ,24.927         ,0.644 
0     ,4      ,80   ,1273       ,18.035        ,21.652         ,0.833 
4     ,0      ,80   ,2147483647 ,14.719        ,20.197         ,0.729 
4     ,4      ,80   ,1273       ,14.202        ,20.374         ,0.697 
2     ,2      ,80   ,2147483647 ,14.208        ,19.707         ,0.721 
2     ,6      ,80   ,1273       ,18.074        ,21.661         ,0.834 
6     ,2      ,80   ,2147483647 ,15.025        ,20.509         ,0.733 
1     ,7      ,80   ,1273       ,17.403        ,28.943         ,0.601 
7     ,1      ,80   ,2147483647 ,14.322        ,26.756         ,0.535 
3     ,4      ,80   ,1273       ,17.15         ,26.329         ,0.651 
4     ,3      ,80   ,2147483647 ,16.031        ,26.765         ,0.599 
