                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length   40, alignments in bytes  2/ 2:	10.973	10.4662	10.4711	10.6835	19.231
Length   40, alignments in bytes  2/ 6:	10.9749	12.5846	12.2429	10.6293	23.8242
Length   40, alignments in bytes  6/ 2:	10.9742	10.4674	10.3318	11.4404	17.8013
Length   40, alignments in bytes  1/ 7:	10.9766	12.8129	11.9452	10.5496	23.5376
Length   40, alignments in bytes  7/ 1:	10.7144	10.2731	10.1765	8.84607	16.6198
Length   40, alignments in bytes  3/ 4:	10.7122	11.5696	11.5327	11.1442	20.5382
Length   40, alignments in bytes  4/ 3:	10.7124	10.257	10.1676	10.6691	16.6522
Length   40, alignments in bytes  5/ 7:	10.73	12.2726	11.9702	12.3979	19.5178
Length   40, alignments in bytes  7/ 5:	10.9762	10.7701	10.1533	8.83765	16.4701
Length   44, alignments in bytes  0/ 4:	10.7122	9.3988	8.82031	10.9065	15.5531
Length   44, alignments in bytes  4/ 0:	10.9716	9.53088	9.59131	9.15649	17.1304
Length   44, alignments in bytes  4/ 4:	10.975	10.4545	10.4915	9.12891	16.0071
Length   44, alignments in bytes  2/ 2:	10.9913	10.4867	10.4855	10.6768	21.9471
Length   44, alignments in bytes  2/ 6:	10.9749	11.9694	11.7902	10.9084	26.295
Length   44, alignments in bytes  6/ 2:	10.9742	9.526	9.51514	10.907	16.4811
Length   44, alignments in bytes  1/ 7:	10.9734	12.5996	12.2111	10.9224	26.7129
Length   44, alignments in bytes  7/ 1:	10.9935	9.56628	9.45667	9.36292	16.1804
Length   44, alignments in bytes  3/ 4:	10.9755	11.861	11.7971	10.228	23.7952
Length   44, alignments in bytes  4/ 3:	10.9719	10.4978	10.4137	9.25	17.0059
Length   44, alignments in bytes  5/ 7:	10.9723	11.8735	11.8082	10.4419	20.1016
Length   44, alignments in bytes  7/ 5:	10.9922	10.8713	10.4156	9.99658	16.5203
Length   48, alignments in bytes  0/ 4:	10.9956	10.0042	9.61658	9.19434	15.7368
Length   48, alignments in bytes  4/ 0:	10.9728	10.5281	10.33	9.99426	18.6925
Length   48, alignments in bytes  4/ 4:	10.9778	10.5597	10.4963	10.0311	18.1801
Length   48, alignments in bytes  2/ 2:	10.9896	10.5138	10.4784	10.4473	19.501
Length   48, alignments in bytes  2/ 6:	10.9752	12.6023	12.2164	11.1622	25.6012
Length   48, alignments in bytes  6/ 2:	10.9929	10.8291	10.3318	10.2861	18.2668
Length   48, alignments in bytes  1/ 7:	10.9927	12.6332	12.2677	10.0121	25.8533
Length   48, alignments in bytes  7/ 1:	10.9736	10.4913	10.3058	10.0038	18.6726
Length   48, alignments in bytes  3/ 4:	10.9763	11.2441	11.8021	10.1636	23.2334
Length   48, alignments in bytes  4/ 3:	10.9753	10.61	10.3928	10.9128	17.9225
Length   48, alignments in bytes  5/ 7:	10.9738	12.6344	12.2412	12.132	21.7419
Length   48, alignments in bytes  7/ 5:	10.9758	10.5332	10.3196	9.98767	17.4945
Length   52, alignments in bytes  0/ 4:	10.9918	9.12573	8.87671	10.8568	16.8995
Length   52, alignments in bytes  4/ 0:	10.9712	10.4807	10.4028	10.631	17.9272
Length   52, alignments in bytes  4/ 4:	10.9924	10.7391	10.4958	10.0291	17.2252
Length   52, alignments in bytes  2/ 2:	10.9758	10.5549	10.4366	11.2466	23.6627
Length   52, alignments in bytes  2/ 6:	10.9741	11.9291	11.8018	11.8851	27.953
Length   52, alignments in bytes  6/ 2:	10.9766	10.6525	10.4329	11.4706	17.2814
Length   52, alignments in bytes  1/ 7:	10.9738	12.5895	12.2612	11.5325	28.2715
Length   52, alignments in bytes  7/ 1:	11.01	10.4993	10.3208	11.4547	17.0039
Length   52, alignments in bytes  3/ 4:	10.9781	11.9342	11.812	10.1763	25.6514
Length   52, alignments in bytes  4/ 3:	10.975	10.4629	10.4456	10.9156	17.6414
Length   52, alignments in bytes  5/ 7:	10.9852	11.9132	11.7887	12.1733	21.8899
Length   52, alignments in bytes  7/ 5:	10.9742	10.4773	10.4219	11.6609	17.1783
