                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length   24, alignments in bytes  4/ 4:	11.4474	8.78992	9.15845	8.42126	15.3503
Length   24, alignments in bytes  2/ 2:	10.0654	8.54529	8.41553	7.09473	15.3413
Length   24, alignments in bytes  2/ 6:	10.0765	8.60388	8.41785	8.21631	19.3307
Length   24, alignments in bytes  6/ 2:	10.0419	8.57568	8.41064	7.4574	16.0923
Length   24, alignments in bytes  1/ 7:	10.0891	8.52502	8.40466	8.20813	19.8882
Length   24, alignments in bytes  7/ 1:	10.0807	8.552	8.401	7.44897	14.5854
Length   24, alignments in bytes  3/ 4:	10.0785	8.53943	8.40247	8.20813	16.8821
Length   24, alignments in bytes  4/ 3:	10.0537	8.54407	8.40942	7.45215	15.2458
Length   24, alignments in bytes  5/ 7:	10.1271	8.54895	8.41431	8.21912	16.0925
Length   24, alignments in bytes  7/ 5:	10.079	8.54578	8.4021	7.45581	14.7494
Length   28, alignments in bytes  0/ 4:	10.1029	8.21948	8.27234	8.61829	12.6226
Length   28, alignments in bytes  4/ 0:	10.2635	8.25793	8.35535	8.1908	15.1699
Length   28, alignments in bytes  4/ 4:	10.2015	8.54456	8.39758	7.69922	14.2301
Length   28, alignments in bytes  2/ 2:	10.4369	8.54382	8.41138	7.70068	17.7686
Length   28, alignments in bytes  2/ 6:	10.2703	8.27246	8.30872	8.62402	21.6082
Length   28, alignments in bytes  6/ 2:	10.2096	8.22473	8.36401	8.177	14.4655
Length   28, alignments in bytes  1/ 7:	10.0728	8.27112	8.31201	8.5874	22.2162
Length   28, alignments in bytes  7/ 1:	10.1604	8.28076	8.32886	8.74329	14.0205
Length   28, alignments in bytes  3/ 4:	10.0552	8.53516	8.41064	8.67993	19.2733
Length   28, alignments in bytes  4/ 3:	10.1587	8.53894	8.39807	8.04895	15.0059
Length   28, alignments in bytes  5/ 7:	10.1132	8.54907	8.39832	8.69604	16.1185
Length   28, alignments in bytes  7/ 5:	10.1975	8.54102	8.43286	8.02405	14.1331
