Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9674465599435252

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
  14,  4081,   15,         0,          0,     1.138
  16,  4081,   15,        23,          0,     1.003
  16,  4081,   15,         0,          0,     1.018
  17,     0,   16,        23,          0,     0.871
  17,     0,   16,         0,          0,     0.892
  17,    16,   16,        23,          0,     0.878
  17,    16,   16,         0,          0,      0.88
  15,     0,   16,        23,          0,     1.006
  15,     0,   16,         0,          0,     1.002
  15,    16,   16,        23,          0,     1.003
  15,    16,   16,         0,          0,     1.005
  17,  2048,   16,        23,          0,     0.889
  17,  2048,   16,         0,          0,     0.895
  17,  2064,   16,        23,          0,      0.87
  17,  2064,   16,         0,          0,     0.871
  15,  2048,   16,        23,          0,     1.003
  15,  2048,   16,         0,          0,     1.006
  15,  2064,   16,        23,          0,     0.999
  15,  2064,   16,         0,          0,       1.0
  15,  4081,   16,        23,          0,     1.134
  15,  4081,   16,         0,          0,     1.132
  17,  4081,   16,        23,          0,     1.016
  17,  4081,   16,         0,          0,     1.044
  18,     0,   17,        23,          0,     0.884
  18,     0,   17,         0,          0,     0.869
  18,    17,   17,        23,          0,     0.901
  18,    17,   17,         0,          0,     0.907
  16,     0,   17,        23,          0,     1.004
  16,     0,   17,         0,          0,     1.001
  16,    17,   17,        23,          0,     1.006
  16,    17,   17,         0,          0,       1.0
  18,  2048,   17,        23,          0,     0.922
  18,  2048,   17,         0,          0,     0.893
  18,  2065,   17,        23,          0,     0.871
  18,  2065,   17,         0,          0,     0.906
  16,  2048,   17,        23,          0,     1.008
  16,  2048,   17,         0,          0,       1.0
  16,  2065,   17,        23,          0,     1.001
  16,  2065,   17,         0,          0,     1.004
  16,  4081,   17,        23,          0,       1.0
  16,  4081,   17,         0,          0,     1.003
  18,  4081,   17,        23,          0,     1.033
  18,  4081,   17,         0,          0,     1.023
  19,     0,   18,        23,          0,     0.882
  19,     0,   18,         0,          0,      0.88
  19,    18,   18,        23,          0,      0.91
  19,    18,   18,         0,          0,     0.877
  17,     0,   18,        23,          0,     1.005
  17,     0,   18,         0,          0,     1.004
  17,    18,   18,        23,          0,     1.002
  17,    18,   18,         0,          0,     1.001
  19,  2048,   18,        23,          0,     0.907
  19,  2048,   18,         0,          0,     0.862
  19,  2066,   18,        23,          0,     0.884
  19,  2066,   18,         0,          0,     0.892
  17,  2048,   18,        23,          0,     1.007
  17,  2048,   18,         0,          0,     1.005
  17,  2066,   18,        23,          0,     0.999
  17,  2066,   18,         0,          0,     1.002
  17,  4081,   18,        23,          0,     0.999
  17,  4081,   18,         0,          0,       1.0
  19,  4081,   18,        23,          0,     1.024
  19,  4081,   18,         0,          0,     1.017
  20,     0,   19,        23,          0,     0.862
  20,     0,   19,         0,          0,     0.914
  20,    19,   19,        23,          0,     0.905
  20,    19,   19,         0,          0,     0.896
  18,     0,   19,        23,          0,     0.997
  18,     0,   19,         0,          0,       1.0
  18,    19,   19,        23,          0,       1.0
  18,    19,   19,         0,          0,     1.003
  20,  2048,   19,        23,          0,     0.886
  20,  2048,   19,         0,          0,     0.867
  20,  2067,   19,        23,          0,     0.876
  20,  2067,   19,         0,          0,     0.865
  18,  2048,   19,        23,          0,     1.006
  18,  2048,   19,         0,          0,     0.997
  18,  2067,   19,        23,          0,     0.999
  18,  2067,   19,         0,          0,     0.999
  18,  4081,   19,        23,          0,     0.997
  18,  4081,   19,         0,          0,     0.998
  20,  4081,   19,        23,          0,     1.023
  20,  4081,   19,         0,          0,     1.019
  21,     0,   20,        23,          0,     0.897
  21,     0,   20,         0,          0,     0.892
  21,    20,   20,        23,          0,     0.917
  21,    20,   20,         0,          0,     0.868
  19,     0,   20,        23,          0,     1.003
  19,     0,   20,         0,          0,     0.999
  19,    20,   20,        23,          0,     0.998
  19,    20,   20,         0,          0,       1.0
  21,  2048,   20,        23,          0,     0.913
  21,  2048,   20,         0,          0,     0.929
  21,  2068,   20,        23,          0,     0.887
  21,  2068,   20,         0,          0,     0.917
  19,  2048,   20,        23,          0,     1.002
  19,  2048,   20,         0,          0,     1.001
  19,  2068,   20,        23,          0,     1.009
  19,  2068,   20,         0,          0,     0.995
  19,  4081,   20,        23,          0,       1.0
  19,  4081,   20,         0,          0,       1.0
  21,  4081,   20,        23,          0,      1.04
  21,  4081,   20,         0,          0,     1.016
  22,     0,   21,        23,          0,       0.9
  22,     0,   21,         0,          0,     0.917
  22,    21,   21,        23,          0,     0.891
  22,    21,   21,         0,          0,     0.916
  20,     0,   21,        23,          0,     1.008
  20,     0,   21,         0,          0,     1.006
  20,    21,   21,        23,          0,     0.994
  20,    21,   21,         0,          0,     1.007
  22,  2048,   21,        23,          0,     0.907
  22,  2048,   21,         0,          0,     0.901
  22,  2069,   21,        23,          0,     0.879
  22,  2069,   21,         0,          0,     0.906
  20,  2048,   21,        23,          0,     1.008
  20,  2048,   21,         0,          0,     0.997
  20,  2069,   21,        23,          0,     1.006
  20,  2069,   21,         0,          0,     1.005
  20,  4081,   21,        23,          0,     1.004
  20,  4081,   21,         0,          0,     1.001
  22,  4081,   21,        23,          0,     1.019
  22,  4081,   21,         0,          0,     1.019
  23,     0,   22,        23,          0,     0.896
  23,     0,   22,         0,          0,     0.916
  23,    22,   22,        23,          0,     0.926
  23,    22,   22,         0,          0,     0.925
  21,     0,   22,        23,          0,     0.997
  21,     0,   22,         0,          0,     1.005
