                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length   44, alignments in bytes  6/ 2:	12.1323	9.28857	9.29749	10.1718	16.0911
Length   44, alignments in bytes  1/ 7:	10.7137	12.2825	11.9414	10.6805	25.8262
Length   44, alignments in bytes  7/ 1:	10.7131	9.3324	9.31189	9.14648	15.7913
Length   44, alignments in bytes  3/ 4:	10.7145	11.5676	11.506	10.6809	23.6908
Length   44, alignments in bytes  4/ 3:	10.9932	10.4817	10.4602	9.2478	17.0054
Length   44, alignments in bytes  5/ 7:	10.9747	11.9617	11.8087	10.438	20.1337
Length   44, alignments in bytes  7/ 5:	10.9733	10.8667	10.4684	10.0156	16.4987
Length   48, alignments in bytes  0/ 4:	10.9758	9.97229	9.63318	9.22668	15.6809
Length   48, alignments in bytes  4/ 0:	10.9711	10.5471	10.2949	9.98694	18.6523
Length   48, alignments in bytes  4/ 4:	10.973	10.5127	10.4751	10.0483	18.0525
Length   48, alignments in bytes  2/ 2:	10.9751	10.4807	10.4926	10.3204	19.9025
Length   48, alignments in bytes  2/ 6:	10.9761	12.5944	12.2598	11.0466	25.6957
Length   48, alignments in bytes  6/ 2:	10.9745	10.979	10.2959	10.2899	18.2457
Length   48, alignments in bytes  1/ 7:	10.9741	12.6333	12.2627	10.0607	27.3256
Length   48, alignments in bytes  7/ 1:	10.9749	10.5688	10.2948	9.99707	17.9222
Length   48, alignments in bytes  3/ 4:	10.9777	10.2888	11.8268	10.1666	23.26
Length   48, alignments in bytes  4/ 3:	10.9736	10.4867	10.4565	10.9167	17.9545
Length   48, alignments in bytes  5/ 7:	10.9816	12.6251	12.2776	12.1024	21.7841
Length   48, alignments in bytes  7/ 5:	10.9937	10.855	10.3032	9.98425	17.514
Length   52, alignments in bytes  0/ 4:	10.9747	9.39307	8.86633	10.8856	16.9581
Length   52, alignments in bytes  4/ 0:	10.9728	10.472	10.3778	10.6199	17.9077
Length   52, alignments in bytes  4/ 4:	10.9741	11.429	10.4471	10.1582	17.2031
Length   52, alignments in bytes  2/ 2:	10.9922	10.501	10.4899	12.2177	21.8251
Length   52, alignments in bytes  2/ 6:	10.9753	11.9139	11.8101	11.88	28.1322
Length   52, alignments in bytes  6/ 2:	11.0286	10.475	10.4121	11.4371	17.2787
Length   52, alignments in bytes  1/ 7:	10.9933	12.6283	12.2749	11.5197	28.3904
Length   52, alignments in bytes  7/ 1:	10.9749	10.8168	10.3265	11.4409	17.0137
Length   52, alignments in bytes  3/ 4:	10.9763	11.9286	11.7943	10.1534	25.621
Length   52, alignments in bytes  4/ 3:	10.9741	10.4718	10.4127	10.9139	17.6421
Length   52, alignments in bytes  5/ 7:	10.9741	11.9869	11.8314	12.1097	21.8513
Length   52, alignments in bytes  7/ 5:	10.9763	10.5199	10.4703	11.6644	17.1641
Length   56, alignments in bytes  0/ 4:	10.9919	9.15198	8.8938	11.0404	17.4242
Length   56, alignments in bytes  4/ 0:	10.9708	10.4923	10.3873	12.3289	19.6963
Length   56, alignments in bytes  4/ 4:	10.9733	10.5032	10.505	12.0758	19.4795
