                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length   20, alignments in bytes  4/ 4:	10.5646	8.56604	8.41113	7.08936	13.0435
Length   20, alignments in bytes  2/ 2:	10.0607	8.62622	8.38831	7.07642	20.089
Length   20, alignments in bytes  2/ 6:	10.1599	8.54504	8.39624	7.77917	20.085
Length   20, alignments in bytes  6/ 2:	10.1012	8.53296	8.39917	6.1991	13.189
Length   20, alignments in bytes  1/ 7:	10.3983	8.60791	8.40991	7.75586	20.3795
Length   20, alignments in bytes  7/ 1:	10.1414	8.52991	8.40503	7.2749	12.9862
Length   20, alignments in bytes  3/ 4:	10.1584	8.55713	8.39746	8.20764	18.0873
Length   20, alignments in bytes  4/ 3:	14.6704	9.74902	8.41772	7.45618	13.6448
Length   20, alignments in bytes  5/ 7:	10.1149	8.62769	8.40442	8.21057	14.687
Length   20, alignments in bytes  7/ 5:	10.2179	8.60071	8.41003	7.45911	12.5718
Length   24, alignments in bytes  0/ 4:	10.1122	8.58569	8.37512	8.21533	10.8184
Length   24, alignments in bytes  4/ 0:	10.0768	8.53223	8.40125	7.46777	17.4198
Length   24, alignments in bytes  4/ 4:	10.077	8.53955	8.40344	7.09998	17.0089
Length   24, alignments in bytes  2/ 2:	10.6584	9.10938	8.41064	7.09033	15.3888
Length   24, alignments in bytes  2/ 6:	10.1835	8.60144	8.40686	8.21387	19.3878
Length   24, alignments in bytes  6/ 2:	10.2223	8.54785	8.40344	7.45117	16.1224
Length   24, alignments in bytes  1/ 7:	10.0903	8.54114	8.39673	8.2052	19.8606
Length   24, alignments in bytes  7/ 1:	10.0768	9.10547	8.60413	7.64099	14.9298
Length   24, alignments in bytes  3/ 4:	10.3252	8.74353	8.60632	8.41187	17.3121
Length   24, alignments in bytes  4/ 3:	10.2863	8.745	8.61157	7.64575	15.6307
Length   24, alignments in bytes  5/ 7:	10.5708	8.74585	8.60339	8.42004	16.5094
Length   24, alignments in bytes  7/ 5:	10.3824	8.78052	8.6084	7.63953	15.0945
Length   28, alignments in bytes  0/ 4:	10.2852	8.42175	8.29431	8.84387	12.9419
Length   28, alignments in bytes  4/ 0:	10.4386	8.422	8.56909	8.38123	15.5535
Length   28, alignments in bytes  4/ 4:	10.3959	8.76978	8.60413	7.89648	14.6017
Length   28, alignments in bytes  2/ 2:	10.3844	8.7428	8.6012	7.88635	17.941
Length   28, alignments in bytes  2/ 6:	10.4205	8.47046	8.51636	8.86804	22.1061
Length   28, alignments in bytes  6/ 2:	10.4845	8.45215	8.55273	8.37939	14.8121
Length   28, alignments in bytes  1/ 7:	10.4075	8.47095	8.51416	8.7926	23.1528
Length   28, alignments in bytes  7/ 1:	10.2399	8.21423	8.33362	8.71436	14.0114
Length   28, alignments in bytes  3/ 4:	10.2949	8.53687	8.38708	8.69897	19.2721
Length   28, alignments in bytes  4/ 3:	10.1024	8.60645	8.39038	8.04272	15.0101
Length   28, alignments in bytes  5/ 7:	10.1385	8.51953	8.38416	8.69495	16.046
Length   28, alignments in bytes  7/ 5:	10.1782	8.54651	8.41431	8.01782	14.1533
Length   32, alignments in bytes  0/ 4:	11.6761	6.85632	7.37805	8.07812	12.4236
Length   32, alignments in bytes  4/ 0:	11.3867	6.70312	7.37439	9.74731	16.8517
Length   32, alignments in bytes  4/ 4:	11.551	6.4209	6.63708	9.54858	15.9034
Length   32, alignments in bytes  2/ 2:	11.6471	6.69922	8.03662	9.53247	16.7408
Length   32, alignments in bytes  2/ 6:	15.3987	8.2002	8.87976	11.6343	21.6959
Length   32, alignments in bytes  6/ 2:	10.5852	6.03662	6.69751	9.9635	16.7994
Length   32, alignments in bytes  1/ 7:	10.6534	8.01782	8.15564	8.9032	21.5604
Length   32, alignments in bytes  7/ 1:	10.5667	6.7041	7.36755	8.92749	15.5494
Length   32, alignments in bytes  3/ 4:	10.6428	8.02368	8.03333	10.0206	18.7839
Length   32, alignments in bytes  4/ 3:	10.8988	6.06079	6.70215	11.3033	16.1079
Length   32, alignments in bytes  5/ 7:	10.7158	7.99036	8.16162	10.8998	17.2394
Length   32, alignments in bytes  7/ 5:	10.6223	6.69226	6.70044	8.93237	17.4012
Length   36, alignments in bytes  0/ 4:	10.8256	9.21948	9.06934	10.8978	13.8452
Length   36, alignments in bytes  4/ 0:	10.2511	7.67529	7.58191	10.2079	16.1676
Length   36, alignments in bytes  4/ 4:	10.6527	9.40222	10.6801	9.78027	15.4377
Length   36, alignments in bytes  2/ 2:	11.0961	9.75208	10.2865	10.6926	22.64
Length   36, alignments in bytes  2/ 6:	10.9417	12.0479	12.0657	10.6438	24.1084
Length   36, alignments in bytes  6/ 2:	10.9272	7.86206	7.76062	10.5671	15.6113
Length   36, alignments in bytes  1/ 7:	10.9318	11.1912	10.8931	11.203	24.549
Length   36, alignments in bytes  7/ 1:	11.0151	6.86633	6.875	10.5667	15.3593
Length   36, alignments in bytes  3/ 4:	10.9631	12.0602	12.0709	10.2599	21.8008
Length   36, alignments in bytes  4/ 3:	10.8983	11.1365	10.2716	10.512	16.4128
Length   36, alignments in bytes  5/ 7:	10.7954	13.012	13.0165	11.1537	18.1146
Length   36, alignments in bytes  7/ 5:	10.9609	10.2064	10.2856	11.4817	15.653
Length   40, alignments in bytes  0/ 4:	10.9248	9.9563	9.81885	10.899	14.1945
Length   40, alignments in bytes  4/ 0:	10.4077	10.8234	10.6548	11.0968	17.8394
Length   40, alignments in bytes  4/ 4:	11.0065	10.5382	10.7716	10.6912	19.1686
Length   40, alignments in bytes  2/ 2:	10.8688	10.5452	10.8508	10.6965	18.5311
Length   40, alignments in bytes  2/ 6:	10.9564	12.5676	12.1896	10.6241	23.6412
Length   40, alignments in bytes  6/ 2:	11.083	10.7798	10.7032	11.4646	17.8948
Length   40, alignments in bytes  1/ 7:	11.0585	12.5731	12.1808	10.5653	23.9996
Length   40, alignments in bytes  7/ 1:	10.8945	10.5994	10.7352	9.17847	17.1693
Length   40, alignments in bytes  3/ 4:	10.8521	10.2893	11.8494	11.4352	21.2911
Length   40, alignments in bytes  4/ 3:	11.2037	10.8463	10.8162	10.9473	17.078
Length   40, alignments in bytes  5/ 7:	10.9036	12.5775	12.1854	11.4265	19.637
Length   40, alignments in bytes  7/ 5:	10.8607	10.5787	10.6594	9.15491	16.8881
Length   44, alignments in bytes  0/ 4:	10.9147	9.10876	9.00049	10.9335	15.4341
Length   44, alignments in bytes  4/ 0:	10.6433	9.64111	9.62903	8.61194	17.1445
Length   44, alignments in bytes  4/ 4:	10.9276	10.6963	10.7654	8.73816	16.0543
Length   44, alignments in bytes  2/ 2:	10.8701	10.6841	10.8376	10.6963	22.6418
Length   44, alignments in bytes  2/ 6:	10.9686	11.9934	11.8209	10.9553	25.9661
Length   44, alignments in bytes  6/ 2:	10.9934	9.61218	9.64709	10.1039	16.6248
Length   44, alignments in bytes  1/ 7:	10.796	12.5677	12.1586	10.9501	26.4102
Length   44, alignments in bytes  7/ 1:	10.9058	9.58789	9.60571	8.9906	16.2272
Length   44, alignments in bytes  3/ 4:	10.7748	11.9409	11.8501	10.2671	23.9023
Length   44, alignments in bytes  4/ 3:	10.948	10.7538	10.8062	8.6698	17.01
Length   44, alignments in bytes  5/ 7:	11.1492	11.9979	11.8473	10.0094	20.0963
Length   44, alignments in bytes  7/ 5:	10.8538	10.6527	10.7815	9.95984	17.4304
Length   48, alignments in bytes  0/ 4:	10.9211	9.99609	9.91711	8.85303	15.6569
Length   48, alignments in bytes  4/ 0:	10.6635	10.9446	10.7555	9.95007	18.813
Length   48, alignments in bytes  4/ 4:	10.9587	10.8928	10.9202	10.0219	18.1108
Length   48, alignments in bytes  2/ 2:	10.8398	10.6493	10.896	10.1315	19.9203
Length   48, alignments in bytes  2/ 6:	10.573	12.3431	11.8901	10.5911	25.0333
