                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length   32/  32, alignment  6/ 4, N  128:	28.8924	25.5447	26.308	25.8004	28.9116
Length   32/   8, alignment  0/ 0, N  128:	23.9795	22.5444	22.9919	21.9384	23.7983
Length   32/   8, alignment  6/ 4, N  128:	23.8665	22.4859	23.1041	22.6125	23.911
Length   64/  64, alignment  0/ 0, N  128:	24.7307	24.2874	24.9393	24.8577	24.3653
Length   64/  64, alignment  5/ 6, N  128:	27.8138	28.3987	29.1392	27.8562	27.7415
Length   64/  16, alignment  0/ 0, N  128:	27.2415	28.0526	27.3315	25.0777	27.6101
Length   64/  16, alignment  5/ 6, N  128:	27.6095	28.5101	28.5942	26.794	27.1406
Length  128/ 128, alignment  0/ 0, N  128:	25.7502	25.8542	26.8583	27.7006	26.3665
Length  128/ 128, alignment  4/ 0, N  128:	26.598	30.1225	30.7918	31.9933	26.6926
Length  128/  32, alignment  0/ 0, N  128:	27.4464	26.1869	27.2107	26.9345	27.4621
Length  128/  32, alignment  4/ 0, N  128:	27.6757	30.3348	30.8385	32.4349	27.6249
Length  256/ 256, alignment  0/ 0, N  128:	30.6712	26.5211	27.1743	27.9704	30.4567
Length  256/ 256, alignment  3/ 2, N  128:	32.131	30.8388	31.7443	32.9348	32.3488
Length  256/  64, alignment  0/ 0, N  128:	26.3029	26.3564	26.9916	27.6146	26.8976
Length  256/  64, alignment  3/ 2, N  128:	28.9057	31.7725	32.3299	33.514	29.1766
Length  512/ 512, alignment  0/ 0, N  128:	31.3582	28.2923	27.8774	34.2527	31.2926
Length  512/ 512, alignment  2/ 4, N  128:	33.2347	31.6352	32.1876	39.7435	33.4222
Length  512/ 128, alignment  0/ 0, N  128:	26.953	27.0693	28.2097	28.436	27.0124
Length  512/ 128, alignment  2/ 4, N  128:	29.0857	31.5896	32.2797	33.1759	28.9388
Length 1024/1024, alignment  0/ 0, N  128:	32.7881	32.8158	33.764	47.8474	32.786
Length 1024/1024, alignment  1/ 6, N  128:	35.6979	34.5893	33.9805	49.9861	33.8981
Length 1024/ 256, alignment  0/ 0, N  128:	32.097	26.9849	27.7323	28.6822	31.9794
Length 1024/ 256, alignment  1/ 6, N  128:	33.746	32.2191	32.9339	33.6283	33.4374
Length   16/   1, alignment  1/ 2, N  128:	25.5316	23.4561	24.1653	22.1055	25.6577
Length   16/   1, alignment  2/ 1, N  128:	25.6244	22.9478	23.5266	21.6877	24.9854
Length   16/  10, alignment  1/ 1, N  128:	25.0461	22.8926	23.4915	21.5686	25.1168
Length   32/   1, alignment  2/ 4, N  128:	24.9277	23.4183	23.7251	23.1047	24.2824
Length   32/   1, alignment  4/ 2, N  128:	24.3854	23.0887	23.5244	23.1677	24.3497
Length   32/  10, alignment  2/ 2, N  128:	24.3759	23.0074	23.7255	23.1214	24.2687
Length   64/   1, alignment  3/ 6, N  128:	27.6698	26.5229	27.3191	25.9316	27.277
Length   64/   1, alignment  6/ 3, N  128:	27.0942	27.3002	27.1207	25.1128	26.9032
Length   64/  10, alignment  3/ 3, N  128:	27.0591	25.9059	26.9471	25.2274	27.1794
Length  128/   1, alignment  4/ 0, N  128:	27.853	28.5117	29.0524	29.0296	27.9484
Length  128/   1, alignment  0/ 4, N  128:	27.6181	27.7391	28.2462	27.6702	28.0591
Length  128/  10, alignment  4/ 4, N  128:	27.6999	28.743	29.8944	31.1379	28.959
Length  256/   1, alignment  5/ 2, N  128:	28.3712	29.5609	30.1451	31.6506	28.4107
Length  256/   1, alignment  2/ 5, N  128:	28.5283	30.3667	32.1828	31.373	28.6233
Length  256/  10, alignment  5/ 5, N  128:	28.6024	29.7419	30.4638	31.6644	28.6981
Length  512/   1, alignment  6/ 4, N  128:	28.4942	30.1244	30.7464	31.6933	28.5854
Length  512/   1, alignment  4/ 6, N  128:	28.2842	30.4159	30.0616	31.0773	28.6119
Length  512/  10, alignment  6/ 6, N  128:	28.3112	29.6906	30.0588	31.77	28.821
Length 1024/   1, alignment  7/ 6, N  128:	28.8328	26.7614	26.7913	28.5063	28.3339
Length 1024/   1, alignment  6/ 7, N  128:	28.6887	29.6511	30.0583	31.5231	28.7518
Length 1024/  10, alignment  7/ 7, N  128:	28.5717	29.7151	30.0587	31.6469	28.6563
Length    2/   2, alignment  0/ 2, N  512:	24.2054	22.2204	23.1792	21.0121	24.1825
Length    4/   4, alignment  0/ 0, N  512:	24.3192	22.3632	23.0565	21.0162	24.287
Length    4/   4, alignment  4/ 0, N  512:	24.3678	22.3105	23.0554	21.0009	24.1459
Length    8/   8, alignment  0/ 0, N  512:	23.7552	21.7124	22.4207	20.4608	23.9356
Length    8/   8, alignment  0/ 0, N  512:	23.766	21.712	22.3518	20.4592	23.924
Length   16/  16, alignment  0/ 0, N  512:	24.0616	21.8195	22.4838	21.4247	23.889
Length   16/  16, alignment  7/ 2, N  512:	24.0622	21.855	22.5016	21.8186	24.3568
Length   16/   4, alignment  0/ 0, N  512:	24.3711	22.3636	22.8177	20.5997	23.7895
Length   16/   4, alignment  7/ 2, N  512:	23.8104	21.7928	22.4694	20.5145	23.7401
Length   32/  32, alignment  0/ 0, N  512:	24.4503	24.1403	24.7238	23.564	24.4442
Length   32/  32, alignment  6/ 4, N  512:	28.8738	25.542	26.1823	25.8109	28.9364
Length   32/   8, alignment  0/ 0, N  512:	23.8257	22.5572	22.9914	22.153	23.7705
Length   32/   8, alignment  6/ 4, N  512:	23.8344	22.6066	23.1874	22.6449	23.7935
