                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length   52, alignments in bytes  7/ 1:	11.8523	10.7723	10.7914	11.4717	17.0432
Length   52, alignments in bytes  3/ 4:	11.7439	10.2916	11.8263	10.0728	25.7604
Length   52, alignments in bytes  4/ 3:	11.8804	10.5387	10.9417	10.9097	17.5718
Length   52, alignments in bytes  5/ 7:	11.9913	11.9929	11.7817	12.1449	21.8593
Length   52, alignments in bytes  7/ 5:	11.8595	10.5262	10.9122	11.657	17.15
Length   56, alignments in bytes  0/ 4:	11.7439	9.24329	9.05469	11.0312	17.3531
Length   56, alignments in bytes  4/ 0:	11.6558	10.5117	10.8976	12.337	19.748
Length   56, alignments in bytes  4/ 4:	11.9337	10.7806	10.9446	12.2788	23.9987
Length   56, alignments in bytes  2/ 2:	11.8706	10.7314	10.9171	12.3004	20.9496
Length   56, alignments in bytes  2/ 6:	11.7942	11.9957	11.8333	12.2897	27.5978
Length   56, alignments in bytes  6/ 2:	11.8964	12.1716	10.9325	11.6589	18.724
Length   56, alignments in bytes  1/ 7:	11.9142	11.9977	11.807	11.5879	27.7587
Length   56, alignments in bytes  7/ 1:	11.7695	10.8726	10.9312	9.95129	18.8733
Length   56, alignments in bytes  3/ 4:	11.8181	10.287	11.775	12.338	25.1074
Length   56, alignments in bytes  4/ 3:	11.8369	10.5332	10.9327	11.6532	19.0627
Length   56, alignments in bytes  5/ 7:	11.8453	11.9951	11.8312	12.345	23.7385
Length   56, alignments in bytes  7/ 5:	11.9011	10.5121	10.8904	9.96033	18.3529
Length   60, alignments in bytes  0/ 4:	11.9904	9.18787	9.09314	12.339	18.8148
Length   60, alignments in bytes  4/ 0:	11.2726	10.3109	10.6823	9.52441	19.0966
Length   60, alignments in bytes  4/ 4:	11.8372	11.071	12.1018	9.21594	18.6937
Length   60, alignments in bytes  2/ 2:	10.9882	10.7429	10.9456	12.2817	23.4984
Length   60, alignments in bytes  2/ 6:	10.7778	11.9994	11.856	12.34	29.8097
Length   60, alignments in bytes  6/ 2:	11.2297	10.3124	10.5792	12.3198	18.1816
Length   60, alignments in bytes  1/ 7:	10.6835	11.998	11.85	12.3397	30.0033
Length   60, alignments in bytes  7/ 1:	11.2155	10.3057	10.7548	10.5048	17.7554
Length   60, alignments in bytes  3/ 4:	10.955	11.9946	11.8726	10.0957	27.6847
Length   60, alignments in bytes  4/ 3:	11.2538	11.1259	12.0414	9.64807	18.8364
Length   60, alignments in bytes  5/ 7:	11.8135	10.9917	13.0273	10.8439	23.8142
Length   60, alignments in bytes  7/ 5:	11.9575	11.0801	12.0978	10.5604	17.6718
Length   64, alignments in bytes  0/ 4:	14.6398	9.29041	9.13745	9.60217	19.3636
Length   64, alignments in bytes  4/ 0:	14.7291	10.28	10.2834	10.411	21.2137
Length   64, alignments in bytes  4/ 4:	14.2891	12.6101	13.608	11.1852	20.9792
Length   64, alignments in bytes  2/ 2:	14.3223	10.1158	10.1548	11.3094	22.4503
Length   64, alignments in bytes  2/ 6:	14.6494	10.668	10.7681	12.1041	29.5693
Length   64, alignments in bytes  6/ 2:	14.9078	10.2587	10.4008	12.024	20.3478
Length   64, alignments in bytes  1/ 7:	14.642	10.0161	9.87061	10.2056	29.1255
Length   64, alignments in bytes  7/ 1:	14.743	10.0164	10.1747	10.2981	18.889
Length   64, alignments in bytes  3/ 4:	14.2957	10.2085	10.1887	10.7451	26.7737
Length   64, alignments in bytes  4/ 3:	14.5907	12.2545	12.5996	12.0399	19.8646
Length   64, alignments in bytes  5/ 7:	14.3033	13.5497	14.0697	12.1759	25.1479
Length   64, alignments in bytes  7/ 5:	14.6647	11.4214	11.4353	10.9268	19.1069
Length   68, alignments in bytes  0/ 4:	14.5898	12.0266	12.2458	11.8085	20.9911
Length   68, alignments in bytes  4/ 0:	13.8544	12.4551	12.5531	12.0934	20.6531
Length   68, alignments in bytes  4/ 4:	14.2588	12.2219	12.8879	11.1666	20.3431
Length   68, alignments in bytes  2/ 2:	14.2917	12.3422	12.1632	12.3397	26.0651
Length   68, alignments in bytes  2/ 6:	14.6562	13.6335	13.7599	11.8857	31.6011
Length   68, alignments in bytes  6/ 2:	14.9293	12.4818	12.6355	12.339	19.5105
Length   68, alignments in bytes  1/ 7:	14.6326	12.7523	12.8604	11.9771	32.2539
Length   68, alignments in bytes  7/ 1:	14.9967	13.4108	12.1989	12.3368	18.8214
