                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length   52, alignments in bytes  4/ 4:	12.3427	10.5104	10.5087	10.0188	17.275
Length   52, alignments in bytes  2/ 2:	14.0021	10.5089	10.4696	11.9023	23.3182
Length   52, alignments in bytes  2/ 6:	12.3456	11.9175	11.8265	11.8754	28.0062
Length   52, alignments in bytes  6/ 2:	12.3414	10.4819	10.3918	11.4518	17.2023
Length   52, alignments in bytes  1/ 7:	12.3414	12.6328	12.2723	11.5649	28.4253
Length   52, alignments in bytes  7/ 1:	12.3402	10.5416	10.3102	11.472	17.0309
Length   52, alignments in bytes  3/ 4:	12.3406	11.917	11.8127	10.1622	25.6294
Length   52, alignments in bytes  4/ 3:	12.3392	10.5726	10.4032	10.9182	17.6262
Length   52, alignments in bytes  5/ 7:	12.339	11.9956	11.8253	12.0746	21.9069
Length   52, alignments in bytes  7/ 5:	12.3392	10.6237	10.4456	11.6549	17.1886
Length   56, alignments in bytes  0/ 4:	12.3407	9.25293	8.88635	11.0544	17.3726
Length   56, alignments in bytes  4/ 0:	12.3429	10.5791	10.4102	12.3258	19.6943
Length   56, alignments in bytes  4/ 4:	12.3402	10.4591	10.4698	11.9121	19.446
Length   56, alignments in bytes  2/ 2:	12.3397	10.499	10.4597	12.1315	20.98
Length   56, alignments in bytes  2/ 6:	12.3448	11.9142	11.8236	12.1635	27.6366
Length   56, alignments in bytes  6/ 2:	12.3407	10.4567	10.4152	11.6627	18.6897
Length   56, alignments in bytes  1/ 7:	12.339	11.9214	11.8171	11.5734	28.0007
Length   56, alignments in bytes  7/ 1:	12.3431	10.5906	10.3995	9.98975	18.8802
Length   56, alignments in bytes  3/ 4:	12.3427	10.2872	11.8116	12.5115	25.0083
Length   56, alignments in bytes  4/ 3:	12.3427	10.59	10.433	11.6874	18.9863
Length   56, alignments in bytes  5/ 7:	12.3453	11.9961	11.7842	12.3448	23.7947
Length   56, alignments in bytes  7/ 5:	10.9751	10.5387	10.4128	9.98242	18.3793
Length   60, alignments in bytes  0/ 4:	11.965	9.14551	8.94653	12.3359	18.829
Length   60, alignments in bytes  4/ 0:	11.6907	10.3732	10.4241	9.89734	19.0376
Length   60, alignments in bytes  4/ 4:	12.1163	11.1907	12.0828	9.61035	18.6639
Length   60, alignments in bytes  2/ 2:	10.9749	10.4983	11.0449	12.2397	23.4969
Length   60, alignments in bytes  2/ 6:	10.9733	10.2875	11.8036	12.3357	29.6835
Length   60, alignments in bytes  6/ 2:	11.6588	10.3304	10.4385	12.3906	17.9626
Length   60, alignments in bytes  1/ 7:	10.9874	11.9585	11.7998	12.3373	30.1521
Length   60, alignments in bytes  7/ 1:	11.6613	10.3506	10.4617	10.5074	17.7496
Length   60, alignments in bytes  3/ 4:	11.0521	11.9941	11.7975	10.1742	27.5499
Length   60, alignments in bytes  4/ 3:	11.6617	11.201	11.7656	9.97388	18.7778
Length   60, alignments in bytes  5/ 7:	12.1201	11.0276	13.0039	10.6897	23.7954
Length   60, alignments in bytes  7/ 5:	12.1283	11.1902	12.0635	10.5815	17.651
