                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length 1024/ 256, alignment  0/ 0, N   32:	29.7894	23.485	24.193	22.7675	30.26
Length 1024/ 256, alignment  1/ 6, N   32:	29.6388	23.6563	24.1835	22.7654	29.4594
Length   16/   1, alignment  1/ 2, N   32:	25.1487	22.7467	23.4431	22.1855	24.9568
Length   16/   1, alignment  2/ 1, N   32:	24.9574	22.8972	23.4138	22.1917	24.7103
Length   16/  10, alignment  1/ 1, N   32:	24.5622	22.2174	22.9119	21.7385	24.4282
Length   32/   1, alignment  2/ 4, N   32:	24.4082	22.2183	22.8688	21.7612	24.3203
Length   32/   1, alignment  4/ 2, N   32:	24.1501	21.7123	22.3491	21.1512	24.1234
Length   32/  10, alignment  2/ 2, N   32:	23.7682	21.7114	22.3512	21.2455	23.726
Length   64/   1, alignment  3/ 6, N   32:	23.8618	21.7124	22.3515	21.2794	23.7444
Length   64/   1, alignment  6/ 3, N   32:	23.8478	21.7121	22.3492	21.1423	23.888
Length   64/  10, alignment  3/ 3, N   32:	23.7822	21.7114	22.3508	21.2661	23.8797
Length  128/   1, alignment  4/ 0, N   32:	23.8326	21.7125	22.3521	21.1254	23.9241
Length  128/   1, alignment  0/ 4, N   32:	23.2303	21.2291	21.8546	20.9528	23.9451
Length  128/  10, alignment  4/ 4, N   32:	23.7535	21.7121	22.352	21.2402	23.8152
Length  256/   1, alignment  5/ 2, N   32:	23.8697	21.7123	22.35	21.1409	23.8416
Length  256/   1, alignment  2/ 5, N   32:	23.6213	21.2295	21.8542	20.8094	23.3477
Length  256/  10, alignment  5/ 5, N   32:	23.3617	21.2294	22.2488	21.2437	23.8104
Length  512/   1, alignment  6/ 4, N   32:	23.9292	21.7125	22.3519	21.1463	23.8898
Length  512/   1, alignment  4/ 6, N   32:	23.8134	21.712	22.3491	21.2378	23.5863
Length  512/  10, alignment  6/ 6, N   32:	23.3534	21.2293	21.8539	21.2771	23.8451
